Measurement group identifier,Source identifier,Dataset identifier,Study identifier,Source file identifier,Disease or diseases,Source table or sheet,Measurements represented,Independent screen identifier,Relationship to other reports,Original measurement group identifier,Source link,Scientific basis for grouping
lineage:prom_sap_head_smut_p5_p6_2021:p5_p6_2017,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2017,sap_head_smut_2021_article_pdf,Head smut P5; Head smut P6,main article Table 2,Accession-level P5 and P6 reaction and incidence values from the 2017 greenhouse screen,experiment:prom_sap_head_smut_p5_p6_2021,Original report of these measurements,,https://www.scirp.org/journal/paperinformation?paperid=108141,The publication presents the 2017 and 2018 greenhouse screens in separate tables within one screening series.
lineage:prom_sap_head_smut_p5_p6_2021:p5_p6_2018,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2018,sap_head_smut_2021_article_pdf,Head smut P5; Head smut P6,main article Table 3,Accession-level P5 and P6 reaction and incidence values from the 2018 greenhouse screen,experiment:prom_sap_head_smut_p5_p6_2021,Original report of these measurements,,https://www.scirp.org/journal/paperinformation?paperid=108141,The publication presents the 2017 and 2018 greenhouse screens in separate tables within one screening series.
lineage:prom_sap_texas_anthracnose_2019:all,prom_sap_texas_anthracnose_2019,prom_sap_texas_anthracnose_2019,prom_sap_texas_anthracnose_2019,sap_texas_anthracnose_2019_xlsx,Anthracnose,122_2019_3285_MOESM1_ESM.xlsx,Anthracnose responses for the Texas sorghum association panel,experiment:prom_sap_texas_anthracnose_2019,Original report of these measurements,,https://link.springer.com/article/10.1007/s00122-019-03285-5,"This is the original source for the Texas association-panel anthracnose measurements, which the 2026 haplotype paper reports again."
lineage:prom_sc112_prior_phenotype_merge_2020:ethiopia_component,prom_sc112_prior_phenotype_merge_2020,,,sc112_prior_phenotype_merge_2020_table_s5_xlsx,Anthracnose,Table S5.xlsx Ethiopian-derived rows,Reclassified values originating in the 2019 Ethiopian anthracnose study,experiment:prom_ethiopia_anthracnose_2019,Measurements also reported in an earlier source,lineage:prom_ethiopia_anthracnose_2019:all,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,Reuses and reclassifies anthracnose measurements from the 2018 SAP and 2019 Ethiopian studies; the 2018 SAP and 2019 Ethiopian studies report the original measurements
lineage:prom_sc112_prior_phenotype_merge_2020:sap_component,prom_sc112_prior_phenotype_merge_2020,,,sc112_prior_phenotype_merge_2020_table_s5_xlsx,Anthracnose,Table S5.xlsx SAP-derived rows,Reclassified values originating in the 2018 SAP anthracnose study,experiment:prom_sap_anthracnose_2018,Measurements also reported in an earlier source,lineage:prom_sap_anthracnose_2018:all,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,Reuses and reclassifies anthracnose measurements from the 2018 SAP and 2019 Ethiopian studies; the 2018 SAP and 2019 Ethiopian studies report the original measurements
lineage:prom_sc112_ril_anthracnose_2020:all,prom_sc112_ril_anthracnose_2020,prom_sc112_ril_anthracnose_2020,prom_sc112_ril_anthracnose_2020,sc112_ril_anthracnose_2020_table_s3_xlsx,Anthracnose,Table S3_R1.xlsx,Public line-by-location table available,experiment:prom_sc112_ril_anthracnose_2020,Original report of these measurements,,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,Table S5 combines and reclassifies 574 accessions from prior SAP and Ethiopian studies; those studies report the original measurements
lineage:prom_senegal_8leaf_anthracnose_2021:all,prom_senegal_8leaf_anthracnose_2021,,,,Anthracnose,filename candidate tpg220097-sup-0001.xlsx; unverified,The publisher reports an accession-level supplement; the file was unavailable on 14 July 2026,experiment:prom_senegal_8leaf_anthracnose_2021,Original report of these measurements,,https://acsess.onlinelibrary.wiley.com/doi/10.1002/tpg2.20097,Distinct greenhouse eight-isolate leaf-stage anthracnose assay; 2025 machine-learning paper reuses it
lineage:prom_senegal_anthracnose_ml_2025:eight_isolate,prom_senegal_anthracnose_ml_2025,,,,Anthracnose,figures only; no phenotype table,2021 eight-isolate disease measurements used in the model,experiment:prom_senegal_8leaf_anthracnose_2021,Measurements also reported in an earlier source,lineage:prom_senegal_8leaf_anthracnose_2021:all,https://link.springer.com/article/10.1007/s10142-025-01797-6,Reanalysis of 2021 eight-isolate and 2022 seedling anthracnose evidence
lineage:prom_senegal_anthracnose_ml_2025:seedling,prom_senegal_anthracnose_ml_2025,,,,Anthracnose,figures only; no phenotype table,2022 seedling disease measurements used in the model,experiment:senegal_seedling_anthracnose,Measurements also reported in an earlier source,lineage:senegal_seedling_anthracnose:all,https://link.springer.com/article/10.1007/s10142-025-01797-6,Reanalysis of 2021 eight-isolate and 2022 seedling anthracnose evidence
lineage:prom_senegal_head_smut_crops_2022:subset36,prom_senegal_head_smut_crops_2022,,,,Head smut seedling spot,main article Table 1,36-accession subset matching the Plants 2022 public workbook,experiment:prom_senegal_seedling_head_smut_p5_2022,Measurements also reported in an earlier source,lineage:prom_senegal_seedling_head_smut_p5_2022:all,https://www.mdpi.com/2673-7655/2/2/11,Crops 2022 reports a subset of the measurements in the complete Plants 2022 workbook.
lineage:prom_senegal_seed_quality_2018:anthracnose,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,senegal_multidisease_2018_xlsx,Anthracnose,S1 File.xlsx anthracnose-response columns,Accession-level anthracnose response in the reported 2014 field summary,experiment:prom_senegal_seed_quality_2018,Original report of these measurements,,https://plos.figshare.com/articles/dataset/Population_structure_of_the_NPGS_Senegalese_sorghum_collection_and_its_evaluation_to_identify_new_disease_resistant_genes/5888377,The anthracnose and seed-quality tables describe the same Senegal collection evaluated in the same study.
lineage:prom_senegal_seed_quality_2018:seed_quality,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,senegal_multidisease_2018_xlsx,Grain mold seed quality,S1 File.xlsx seed-rating and germination columns,"Accession-level seed rating, least-squares mean and standard error, and germination values in the reported 2014-2015 field summary",experiment:prom_senegal_seed_quality_2018,Original report of these measurements,,https://plos.figshare.com/articles/dataset/Population_structure_of_the_NPGS_Senegalese_sorghum_collection_and_its_evaluation_to_identify_new_disease_resistant_genes/5888377,The source presents seed-quality and anthracnose measurements as two disease groups within one screen.
lineage:prom_senegal_seedling_head_smut_p5_2022:all,prom_senegal_seedling_head_smut_p5_2022,prom_senegal_seedling_head_smut_p5_2022,prom_senegal_seedling_head_smut_p5_2022,senegal_head_smut_seedling_2022_zip,Head smut seedling spot,plants-1948040-supplementary.xlsx,Public plant-level workbook available,experiment:prom_senegal_seedling_head_smut_p5_2022,Original report of these measurements,,https://www.mdpi.com/2223-7747/11/21/2999,Original seedling-symptom experiment; the related 2022 Crops report provides a preliminary account of the experiment
lineage:prom_sudan_anthracnose_2020:all,prom_sudan_anthracnose_2020,prom_sudan_anthracnose_2020,prom_sudan_anthracnose_2020,sudan_anthracnose_2020_xlsx,Anthracnose,12864_2020_6489_MOESM1_ESM.xlsx,Public accession-by-environment table available,experiment:prom_sudan_anthracnose_2020,Original report of these measurements,,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759763,Original Sudan anthracnose experiment; shares collection with later Sudan grain-mold and rust studies but those are distinct disease experiments
lineage:prom_sudan_grain_mold_2024:all,prom_sudan_grain_mold_2024,prom_sudan_grain_mold_2024,prom_sudan_grain_mold_2024,sudan_grain_mold_2024_xlsx,Grain mold seed emergence; Seed deterioration,10722_2024_2039_MOESM1_ESM.xlsx,Public accession-level summary workbook available,experiment:prom_sudan_grain_mold_2024,Original report of these measurements,,https://link.springer.com/article/10.1007/s10722-024-02039-7,Original Sudan grain-mold evidence; same germplasm collection as Sudan anthracnose/rust but distinct disease experiment
lineage:prom_sudan_grain_mold_sources_2009:all,prom_sudan_grain_mold_sources_2009,prom_sudan_grain_mold_sources_2009,prom_sudan_grain_mold_sources_2009,prom_sudan_grain_mold_sources_2009_pdf,Grain mold,main article Table 1; four measurements for 59 accessions and four controls,252 observations reported across endpoints and environments,experiment:prom_fusarium_grain_mold_panels_isabela_2006,Original report of these measurements,,https://doaj.org/article/0631ad81de1a4ab1be92e1b87d8f5266,"Same location, year, pathogen, and controls as the Ethiopia/Mali panel, but the panels and control values differ; both are grouped as one 2006 screening campaign for recurrence."
lineage:prom_sudan_rust_2025:all,prom_sudan_rust_2025,prom_sudan_rust_2025,prom_sudan_rust_2025,sudan_rust_2025_xlsx,Rust,TPG2-18-e70113-s001.xlsx,Public accession-level mean/class workbook available,experiment:prom_sudan_rust_2025,Original report of these measurements,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12438027/,Original Sudan rust experiment; same collection as Sudan anthracnose/grain mold but distinct disease evidence
lineage:prom_uganda_downy_mildew_2019:all,prom_uganda_downy_mildew_2019,prom_uganda_downy_mildew_2019,prom_uganda_downy_mildew_2019,prom_uganda_downy_mildew_2019_pdf,Downy mildew,main article Table 2; genotype-by-location downy-mildew measurements and reported classes,1000 observations reported across endpoints and environments,experiment:uganda_downy_mildew_two_location_2016,Original report of these measurements,,https://doi.org/10.13057/biodiv/d201136,"The two locations are environments within one study. The table includes 98 study accessions and two resistant checks and gives results for each location. Its table identifier, assessment day, unit, punctuation, and arithmetic match the publication."
lineage:prom_us_lines_long_smut_grain_mold_2018:all,prom_us_lines_long_smut_grain_mold_2018,prom_us_lines_long_smut_grain_mold_2018,prom_us_lines_long_smut_grain_mold_2018,prom_us_lines_long_smut_grain_mold_2018_pdf,Grain mold; Long smut,main article Table 2; Nioro combined 2011--2012 values,60 observations reported across endpoints and environments,experiment:prom_senegal_long_smut_grain_mold_2011_2012,Original report of these measurements,,https://doi.org/10.32861/jac.411.152.156,The source provides separate location tables for Nioro and Bambey; measurements from both locations form one independent screen. Twenty-one normalized labels match; the two altered label pairs appear exactly as printed.
lineage:prom_weather_anthracnose_genotypes_2015:all,prom_weather_anthracnose_genotypes_2015,prom_weather_anthracnose_genotypes_2015,prom_weather_anthracnose_genotypes_2015,prom_weather_anthracnose_genotypes_2015_pdf,Anthracnose,main article Table 3; paired dry original-crop and wet regrowth anthracnose ratings,140 observations reported across endpoints and environments,experiment:prom_weather_anthracnose_texas_2009_paired_crop_regrowth,Original report of these measurements,,https://doi.org/10.9734/AJEA/2015/14589,"The two phases arose from one planting and form one cohort. Fifty-nine accessions overlap the 2007-2008 four-country screen, but the phenotype table is new. Table 3 prints PI330983 whereas the Results text states PI330985."
lineage:prom_zimbabwe_rust_2012:all,prom_zimbabwe_rust_2012,prom_zimbabwe_rust_2012,prom_zimbabwe_rust_2012,prom_zimbabwe_rust_2012_pdf,Rust,main article Table 1; combined two-season least-squares means,68 observations reported across endpoints and environments,experiment:prom_zimbabwe_rust_isabela_2011,Original report of these measurements,,https://doi.org/10.3923/ajppaj.2012.33.40,The public table provides accession means for 68 accessions; the Methods describe 15 additional controls absent from the table.
lineage:prom_zonate_leaf_spot_2021:all,prom_zonate_leaf_spot_2021,prom_zonate_leaf_spot_2021,prom_zonate_leaf_spot_2021,prom_zonate_leaf_spot_2021_pdf,Zonate leaf spot,main article accession table; least-squares mean incidence,68 observations reported across endpoints and environments,experiment:prom_zonate_leaf_spot_burleson_2021,Original report of these measurements,,https://doi.org/10.32861/jac.81.35.38,"The table reports 68 accessions or lines; the Methods incidence formula is worded in reverse, and only least-squares means are public."
lineage:ref_adeyanju_stalk_rot_2015:all,ref_adeyanju_stalk_rot_2015,ref_adeyanju_stalk_rot_2015,ref_adeyanju_stalk_rot_2015,adeyanju_stalk_rot_2015_least_square_means_csv,Charcoal rot; Fusarium stalk rot,supp_g3.114.016394_FileS2.csv,Public raw plot data and combined-environment least-square means; the source provides numeric line identifiers without corresponding accession names,experiment:ref_adeyanju_stalk_rot_2015,Original report of these measurements,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4478546/,Original Kansas 2011-2012 stalk-rot experiment; documented name correspondences support comparison with the Prom panels
lineage:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024:all,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,aragaw_terefe_eastern_ethiopia_anthracnose_2024_xml,Anthracnose,main article XML Tables 1-4,Complete public genotype-by-year main tables,experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Original report of these measurements,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,Distinct Hirna 2017-2018 natural field experiment
lineage:ref_aruna_population_breeding_grain_mold_2021:all,ref_aruna_population_breeding_grain_mold_2021,ref_aruna_population_breeding_grain_mold_2021,ref_aruna_population_breeding_grain_mold_2021,ref_aruna_population_breeding_grain_mold_2021_pdf,Grain mold,main article Table 3; 2017 and 2018 across-location grain-mold scores,70 observations reported across endpoints and environments,experiment:aruna_population_breeding_india_2017_2018,Original report of these measurements,,https://doi.org/10.3389/fpls.2021.687332,Public Table 3 reports the 33 derivatives selected after the 2017 screen and two checks; aggregate totals cover the full set of 150 derivatives. The two years form one selection and validation sequence.
lineage:ref_barbosa_brazil_downy_mildew_2004:all,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,onegen_0166_barbosa_downy_mildew_pdf,Downy mildew,main article Table 1; systemic infection and reported reaction codes in two nurseries,168 observations reported across endpoints and environments,experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,Original report of these measurements,,https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,The two nurseries belong to one study; their pathogen populations were untyped. CMSXS232 appears twice with different measurements and therefore yields two observations. The source prints conflicting reaction codes and designation wording.
lineage:ref_beshir_sudan_leaf_blight_2015:all,ref_beshir_sudan_leaf_blight_2015,ref_beshir_sudan_leaf_blight_2015,ref_beshir_sudan_leaf_blight_2015,ref_beshir_sudan_leaf_blight_2015_pdf,Leaf blight,main article Table 4; named-variety incidence and severity means,22 observations reported across endpoints and environments,experiment:beshir_central_sudan_leaf_blight_survey_2014,Original report of these measurements,,https://www.researchgate.net/publication/301285002_Prevalence_and_severity_of_sorghum_leaf_blight_in_the_sorghum_growing_areas_of_Central_Sudan,"Both citation paths lead to this article. Tables 2 and 4 are marginal summaries of the same survey. Variety results are pooled across fields, and the reported variety count differs from the analysis degrees of freedom."
lineage:ref_buiate_brazil_anthracnose_2009:all,ref_buiate_brazil_anthracnose_2009,ref_buiate_brazil_anthracnose_2009,ref_buiate_brazil_anthracnose_2009_field_screen,ref_buiate_brazil_anthracnose_2009_pdf,Anthracnose,MSc dissertation Tables 1A-2A; complete genotype-by-isolate severity and conditional latent-period matrices,3600 observations reported across endpoints and environments,experiment:buiate_brazil_anthracnose_field_screen_2006,Original report of these measurements,,https://repositorio.ufla.br/items/58707585-2c2b-48a8-9b1c-caaf6d0f85af,"The 2009 thesis provides the complete matrices; its repeated tables and the derived 2010 article report the same measurements. The thesis prints 1,504 latent-period dashes in source-defined categories. Most accessions or lines use study codes; explicitly named controls provide the available cross-study matches."
lineage:ref_costa_brazil_anthracnose_inheritance_2008:all,ref_costa_brazil_anthracnose_inheritance_2008,ref_costa_brazil_anthracnose_inheritance_2008,ref_costa_brazil_anthracnose_inheritance_2008,ref_costa_brazil_anthracnose_inheritance_2008_pdf,Anthracnose,technical bulletin Tables 1-3; unique named-parent reaction classes,26 observations reported across endpoints and environments,experiment:costa_brazil_anthracnose_inheritance_parent_reactions,Original report of these measurements,,https://www.infoteca.cnptia.embrapa.br/handle/doc/491777,"The bulletin reports reactions for unique named parents and aggregate progeny counts. Named-parent observations support summaries of candidates identified repeatedly; the progeny counts provide context. The 2011 article describes the same inheritance experiment. The sources use conflicting isolate designations and pathogen nomenclature."
lineage:ref_diatta_senegal_hybrids_grain_mold_2019:all,ref_diatta_senegal_hybrids_grain_mold_2019,ref_diatta_senegal_hybrids_grain_mold_2019,ref_diatta_senegal_hybrids_grain_mold_2019,ref_diatta_senegal_hybrids_grain_mold_2019_pdf,Grain mold,main article Table 3; pooled panicle grain-mold rating for five hybrids and one parent check,6 observations reported across endpoints and environments,experiment:diatta_senegal_natural_grain_mold_2012_2017,Original report of these measurements,,https://ugspace.ug.edu.gh/items/37f60f1e-5c91-4442-b342-e30e2bb723f2,The disease table contains complete pooled values for five study-specific hybrid codes and one parent check. These six reported lines constitute the comparison; the source identifies the hybrids by their G codes.
lineage:ref_erpelding_botswana_anthracnose_2011:all,ref_erpelding_botswana_anthracnose_2011,ref_erpelding_botswana_anthracnose_2011,ref_erpelding_botswana_anthracnose_2011,onegen_0023_botswana_anthracnose_pdf,Anthracnose,main article Table 1; 2007 and 2008 anthracnose ratings and infected-leaf-area percentages,688 observations reported across endpoints and environments,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,Original report of these measurements,,https://doi.org/10.17221/34/2010-PPS,"The Botswana and Burundi panels share the Isabela site, 2007-2008 seasons, protocol, and several controls; they are grouped as one screening campaign for repeated identification. District passport metadata cover 129 of 154 Botswana accessions."
lineage:ref_erpelding_burundi_anthracnose_2010:all,ref_erpelding_burundi_anthracnose_2010,ref_erpelding_burundi_anthracnose_2010,ref_erpelding_burundi_anthracnose_2010,onegen_0022_burundi_anthracnose_pdf,Anthracnose,main article Table 1; 2007 and 2008 anthracnose ratings and infected-leaf-area percentages,640 observations reported across endpoints and environments,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,Original report of these measurements,,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,"The Burundi and Botswana panels share the Isabela site, 2007-2008 seasons, protocol, and several controls; they are grouped as one screening campaign for repeated identification. The source reports three additional Burundi accessions in aggregate, and the printed 12-control table differs from narrative wording that implies two additional susceptible controls."
lineage:ref_erpelding_mopti_anthracnose_2010:all,ref_erpelding_mopti_anthracnose_2010,ref_erpelding_mopti_anthracnose_2010,ref_erpelding_mopti_anthracnose_2010,onegen_0119_mopti_anthracnose_pdf,Anthracnose,main article Table 1; 2004 and 2005 anthracnose ratings and infected-leaf-area percentages,388 observations reported across endpoints and environments,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,Original report of these measurements,,https://doi.org/10.3844/ajabssp.2010.363.369,"The Mopti and Sikasso panels report the same Isabela planting dates, scale, and closely matching protocol, so they are grouped as one screening campaign for recurrence. The quantitative table contains the printed panel values; the Methods describe nine inoculated controls and one parallel control only in aggregate."
lineage:ref_erpelding_redlan_anthracnose_2007:all,ref_erpelding_redlan_anthracnose_2007,ref_erpelding_redlan_anthracnose_2007,ref_erpelding_redlan_anthracnose_2007,onegen_0179_redlan_inheritance_html,Anthracnose,publisher article; named-parent observations from the 2005 field inheritance experiment,11 observations reported across endpoints and environments,experiment:erpelding_isabela_redlan_pi609251_f2_2005,Original report of these measurements,,https://scialert.net/fulltext/?doi=ppj.2007.187.190,"The 479 F2 plants contribute the aggregate counts reported by the source. Prior Redlan evaluations are background, and the two deliberately chosen parents provide inheritance context."
lineage:ref_erpelding_sikasso_mali_anthracnose_2008:all,ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_sikasso_mali_anthracnose_2008,onegen_0121_sikasso_anthracnose_pdf,Anthracnose,main article Table 1; 2004 and 2005 anthracnose ratings and infected-leaf-area percentages,584 observations reported across endpoints and environments,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,Original report of these measurements,,https://doi.org/10.2174/1874331500802010113,"The Sikasso and Mopti panels share the same Isabela planting dates, scale, and closely matching protocols and therefore form one screening campaign for recurrence. PI 609251 also has a non-inoculated treatment in the source."
lineage:ref_gaffoor_pennsylvania_anthracnose_2021:all,ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,gaffoor_2021_pennsylvania_anthracnose_pdf,Anthracnose,main article Table 3; greenhouse and field severity summaries for 35 selected lines,490 observations reported across endpoints and environments,experiment:gaffoor_pennsylvania_anthracnose_selected_subset_2016,Original report of these measurements,,https://oar.icrisat.org/13037/,The 35-line table contains lines selected by disease response in the 2013 to 2014 screening; the other 123 initial lines lack public values. Greenhouse and field results belong to one study. The source reports ranges and contrast P values as summaries of those measurements.
lineage:ref_girma_ethiopian_head_smut_2019:all,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_ethiopian_head_smut_2019_phenotype_xlsx,Head smut,Girma et al_PhenotypeData.xlsx,Public PURR phenotype workbook recovered with accession-level 2015 and 2016 Arsi Negelle head-smut scores,experiment:ref_girma_ethiopian_head_smut_2019,Original report of these measurements,,https://purr.purdue.edu/publications/3189/1,Distinct 2015-2016 Ethiopian multi-location head-smut experiment
lineage:ref_hess_mali_anthracnose_2002:all,ref_hess_mali_anthracnose_2002,ref_hess_mali_anthracnose_2002,ref_hess_mali_anthracnose_2002,onegen_0231_mali_anthracnose_gxe_pdf,Anthracnose,main article Table 3; pooled means across two sites and three years,168 observations reported across endpoints and environments,experiment:hess_mali_longorola_samanko_anthracnose_1996_1998,Original report of these measurements,,https://oar.icrisat.org/5090/,Table 3 reports treatment means pooled across environments for a panel selected for prior resistance. Transformed and back-transformed columns express the same traits.
lineage:ref_koima_kenya_anthracnose_2023:field,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023_field,koima_kenya_anthracnose_2023_xml,Anthracnose,main article Tables 6-7,Genotype-by-site-and-season field anthracnose values,experiment:ref_koima_kenya_anthracnose_2023,Original report of these measurements,,https://www.mdpi.com/2309-608X/9/1/100,The source reports field and greenhouse assays on different rating scales within the same study.
lineage:ref_koima_kenya_anthracnose_2023:greenhouse,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023_greenhouse,koima_kenya_anthracnose_2023_xml,Anthracnose,main article Table 5,Genotype-level greenhouse anthracnose reactions,experiment:ref_koima_kenya_anthracnose_2023,Original report of these measurements,,https://www.mdpi.com/2309-608X/9/1/100,The source reports field and greenhouse assays on different rating scales within the same study.
lineage:ref_komolong_ergot_ovary_2003:all,ref_komolong_ergot_ovary_2003,ref_komolong_ergot_ovary_2003,ref_komolong_ergot_ovary_2003,onegen_0225_komolong_ergot_ovary_pdf,Ergot,main article Table 1; line-by-isolate-by-inoculum-dose colonization rates and printed line means,36 observations reported across endpoints and environments,experiment:komolong_brisbane_ergot_ovary_colonization,Original report of these measurements,,https://era.dpi.qld.gov.au/id/eprint/10542/,"This mechanistic host-pathogen study provides biological context. Printed marginal means summarize the reported experimental measurements, and the source prints both AKS4 and ASK4."
lineage:ref_kumar_icrisat_grain_mold_hybrids_2008:all,ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008_pdf,Grain mold,main article Table 2; two-year pooled panicle grain-mold ratings,25 observations reported across endpoints and environments,experiment:icrisat_patancheru_grain_mold_2006_2007,Original report of these measurements,,https://oar.icrisat.org/2695/,"Table 2 reports all 25 accessions or lines, with only the pooled two-year rating publicly available. Hybrids, parents, and controls have distinct documented labels; pedigree information provides supporting context."
lineage:ref_mcmahan_conversion_panel_leaf_blight_2020:all,ref_mcmahan_conversion_panel_leaf_blight_2020,ref_mcmahan_conversion_panel_leaf_blight_2020,ref_mcmahan_conversion_panel_leaf_blight_2020,ref_mcmahan_conversion_panel_leaf_blight_2020_phenotypes_csv,Leaf blight,"publisher phenotype CSV; 2016, 2017, combined-year, and 2018 BLUP columns",2784 observations reported across endpoints and environments,experiment:zhang_sorghum_conversion_panel_leaf_blight_2016_2018,Original report of these measurements,,https://doi.org/10.1186/s12870-020-2275-z,"The article and publisher CSV describe the same experiment. The CSV reports 170 measurements as NA. The article's interpretation of incubation-period BLUP direction conflicts with the check values; candidate ranking is therefore based on the other endpoints. The source contains both SC0283 and SC283, and both BTx623 and Tx623, as distinct printed labels."
lineage:ref_mekonen_ethiopia_anthracnose_pathotypes_2024:all,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,mekonen_ethiopia_anthracnose_pathotypes_2024_xml,Anthracnose pathotype,main article XML tables,Complete public genotype-by-isolate binary matrix and severity summaries,experiment:ref_mekonen_ethiopia_anthracnose_pathotypes_2024,Original report of these measurements,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/full,Distinct Ethiopian isolate-by-genotype experiment
lineage:ref_mengistu_ethiopia_anthracnose_2021:all,ref_mengistu_ethiopia_anthracnose_2021,ref_mengistu_ethiopia_anthracnose_2021,ref_mengistu_ethiopia_anthracnose_2021,mengistu_ethiopia_anthracnose_2021_s1_csv,Anthracnose,S1 Table.csv,Complete public genotype-level final severity and relative AUDPC table,experiment:ref_mengistu_ethiopia_anthracnose_2021,Original report of these measurements,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261461,Distinct Bako 2016-2018 field experiment
lineage:ref_mpofu_grain_mold_fgs_2014:all,ref_mpofu_grain_mold_fgs_2014,ref_mpofu_grain_mold_fgs_2014,ref_mpofu_grain_mold_fgs_2014,ref_mpofu_grain_mold_fgs_2014_pdf,Grain mold,main article Table 1; historical field grain-mold grade and reported reaction class,22 observations reported across endpoints and environments,experiment:unresolved_prior_field_evaluations_reported_by_mpofu_2014,Original report not identified in the available source,,https://doi.org/10.1007/s00425-014-2081-7,The Table 1 field grade and reaction class provide historical phenotype evidence from an earlier field evaluation cited by Mpofu et al. (2014).
lineage:ref_nageshkumar_india_genetic_gain_grain_mold_2022:all,ref_nageshkumar_india_genetic_gain_grain_mold_2022,ref_nageshkumar_india_genetic_gain_grain_mold_2022,ref_nageshkumar_india_genetic_gain_grain_mold_2022,ref_nageshkumar_india_genetic_gain_grain_mold_2022_pdf,Grain mold,main article Table 4; regional joint and overall grain-mold performance values,96 observations reported across endpoints and environments,experiment:india_genetic_gain_six_locations_2018_2020,Original report of these measurements,,https://doi.org/10.3389/fpls.2022.1056040,"Regional and overall columns summarize one study. The table heading describes the published values as means, whereas the Methods calls them BLUPs."
lineage:ref_navi_elite_multiple_disease_2003:all,ref_navi_elite_multiple_disease_2003,ref_navi_elite_multiple_disease_2003,ref_navi_elite_multiple_disease_2003,ref_navi_elite_multiple_disease_2003_pdf,Multiple sorghum diseases,main article Table 2; 82 accessions selected as disease free,82 observations reported across endpoints and environments,experiment:navi_elite_landraces_patancheru_2001,Original report of these measurements,,https://oar.icrisat.org/1455/,"The source names 82 selected positives and reports the remaining 863 accessions only as an aggregate count. The fourteen diseases are reported as a composite outcome, so this source contributes composite multiple-disease evidence."
lineage:ref_prom_anthracnose_screening_method_2009:all,ref_prom_anthracnose_screening_method_2009,,,prom_anthracnose_screening_method_2009_pdf,Anthracnose,article experiment and aggregate results,September 2007 and January 2008 Texas greenhouse experiment,experiment:minicore_anthracnose_2007_2008,Original report of these measurements,,https://www.openagriculturejournal.com/VOLUME/3/PAGE/20/FULLTEXT/,Same September 2007 and January 2008 Texas greenhouse anthracnose experiment later represented at binary resolution in the 2019 supplement
