Bibliography identifier,Title,Year,DOI,Authors,Source platforms,Matching sources in Table S1 (n),Source identifiers in Table S1,Landing URLs,Maximum reference count reported by source metadata (n),Matching source identifiers,Role in this review,Review note,Reference-list source,References captured (n)
prombib_059,"Response of near isogenic sorghum lines, differing at the P locus for plant color, to grain mold and head smut fungi",2013,10.1111/aab.12037,"Funnell-Harris, D.L.; Prom, L.K.; Sattler, S.E.",Crossref; OpenAlex; USDA-ARS TEKTRAN,4,10.1111/aab.12037; 293352; 296371; https://openalex.org/W2148822523,https://doi.org/10.1111/aab.12037; https://www.ars.usda.gov/research/publications/publication/?seqNo115=293352; https://www.ars.usda.gov/research/publications/publication/?seqNo115=296371,49,prom_near_isogenic_grain_mold_head_smut_2013,Linked to a source described in Table S1,,Publisher reference list,45
prombib_060,The impacts of lignin modifications on fungal pathogen and insect interactions in sorghum,2013,,"Sattler, S.E.; Clemente, T.E.; Funnell-Harris, D.L.; Dowd, P.F.; Prom, L.K.; Huang, Y.",USDA-ARS TEKTRAN,1,296706,https://www.ars.usda.gov/research/publications/publication/?seqNo115=296706,0,,Bibliographic context,,Bibliographic metadata,0
prombib_061,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.,2014,10.1111/pbr.12133,"Cuevas, H.E.; Prom, L.K.; Erpelding, J.E.; Brotons, V.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1111/pbr.12133; 294850; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915760994907426; https://openalex.org/W2129575901,https://doi.org/10.1111/pbr.12133; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915760994907426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=294850,48,prom_zimbabwe_anthracnose_2014,Linked to a source described in Table S1,,Publisher reference list,48
prombib_062,"Effect of fungicides on sorghum anthracnose and grain mold in Burleson County, Texas, 2013",2014,,"Isakeit, T.; Collins, S.; Rooney, W.L.; Prom, L.K.",USDA-ARS TEKTRAN,1,301662,https://www.ars.usda.gov/research/publications/publication/?seqNo115=301662,0,,Bibliographic context,,Bibliographic metadata,0
prombib_063,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA",2014,10.1007/s10327-014-0557-8,"Prom, L.K.; Perumal, R.; Montes-Garcia, N.; Isakeit, T.; Odvody, G.N.; Rooney, W.L.; Little, C.R.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1007/s10327-014-0557-8; 301876; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916249307307426; https://openalex.org/W2062833110,https://doi.org/10.1007/s10327-014-0557-8; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916249307307426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=301876,28,prom_gambia_mali_downy_mildew_2014,Linked to a source described in Table S1,,Publisher reference list,28
prombib_064,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa",2014,10.1094/php-rs-13-0128,"Prom, L.K.; Perumal, R.; Cisse, N.; Little, C.R.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1094/php-rs-13-0128; 301664; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916003367607426; https://openalex.org/W2331841582,https://doi.org/10.1094/php-rs-13-0128; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916003367607426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=301664,25,prom_senegal_grain_mold_long_smut_2014,Linked to a source described in Table S1,,OpenAlex citation links,25
prombib_065,"INFLUENCE OF PLANTING DEPTHS ON THE INCIDENCE OF SORGHUM HEAD SMUT, CAUSED BY Sporisorium reilianum",2014,10.56369/tsaes.1706,Louis K. Prom; Noé Montes-García; G. N. Odvody,Crossref; OpenAlex,3,10.56369/tsaes.1706; https://openalex.org/W1556220262; https://openalex.org/W4311840934,http://dx.doi.org/10.56369/tsaes.1706; http://www.redalyc.org/articulo.oa?id=93930735014; https://doi.org/10.56369/tsaes.1706,0,prom_planting_depth_head_smut_2014,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_066,Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14,2014,10.1007/s11032-014-0151-y,"Cuevas, H.E.; Prom, L.K.; Erpelding, J.E.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1007/s11032-014-0151-y; 301073; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916037183707426; https://openalex.org/W2050133443,https://doi.org/10.1007/s11032-014-0151-y; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916037183707426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=301073,42,prom_sc112_inheritance_mapping_2014,Linked to a source described in Table S1,,Publisher reference list,41
prombib_067,Mycoflora analysis of hybrid sorghum grain collected from different locations in South Texas,2014,10.9734/ajea/2015/14590,"Prom, L.K.; Perumal, R.; Jin, Z.; Radwan, G.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.9734/ajea/2015/14590; 311673; https://openalex.org/W1972566348,https://doi.org/10.9734/ajea/2015/14590; https://www.ars.usda.gov/research/publications/publication/?seqNo115=311673,16,prom_hybrid_seed_mycoflora_texas_2014,Linked to a source described in Table S1,,OpenAlex citation links,16
prombib_068,Tapping the US sweet sorghum collection to identify biofuel germplasm,2014,10.1007/s12355-014-0349-7,"Cuevas, H.E.; Prom, L.K.; Erpelding, J.E.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1007/s12355-014-0349-7; 307914; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915924006707426; https://openalex.org/W1992869157,https://doi.org/10.1007/s12355-014-0349-7; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915924006707426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=307914,37,,Aggregate sorghum disease results described by the official abstract,The official abstract reports 925 accessions initially screened and a two-year disease trial involving 56 accessions and 17 reference lines. Publicly available materials provide the aggregate description.,Publisher reference list,36
prombib_069,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose,2015,10.1016/j.cropro.2015.10.007,"Cuevas, H.E.; Prom, L.K.; Isakeit, T.; Radwan, G.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1016/j.cropro.2015.10.007; 315007; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916322758807426; https://openalex.org/W2179424635,https://doi.org/10.1016/j.cropro.2015.10.007; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916322758807426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=315007,46,prom_burkina_south_africa_anthracnose_grain_mold_2015,Linked to a source described in Table S1,,Publisher reference list,46
prombib_070,"Effect of fungicides on sorghum anthracnose and grain mold in Burleson County, Texas, 2014",2015,,"Isakeit, T.; Collins, D.; Rooney, W.; Prom, L.K.",USDA-ARS TEKTRAN,1,312837,https://www.ars.usda.gov/research/publications/publication/?seqNo115=312837,0,,Bibliographic context,,Bibliographic metadata,0
prombib_071,Excised leaf method for high volume evaluation of sorghum germplasm for resistance against Colletotrichum sublineolum,2015,10.3923/ppj.2016.11.16,"Prom, L.K.; Cuevas, H.E.; Isakeit, T.; Droleskey, R.E.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2016.11.16; 322746; https://openalex.org/W2547749161,https://doi.org/10.3923/ppj.2016.11.16; https://www.ars.usda.gov/research/publications/publication/?seqNo115=322746,10,prom_excised_leaf_screen_2015,Linked to a source described in Table S1,,Publisher reference list,10
prombib_072,Genomic dissection of anthracnose resistance response in sorghum [ Sorghum bicolor (L.) Moench],2015,10.2172/1483281,Hugo E. Cuevas; Louis K. Prom; Joseph E. Knoll; Wilfred Vermerris,Crossref; OpenAlex,6,10.2172/1483281; 10.2172/1483287; 10.2172/1483779; https://openalex.org/W2922121639; https://openalex.org/W4240295067; https://openalex.org/W4385783581,https://doi.org/10.2172/1483281; https://doi.org/10.2172/1483287; https://doi.org/10.2172/1483779,0,,Bibliographic context,,Bibliographic metadata,0
prombib_073,Reaction of sorghum lines to zonate leaf spot and rough leaf spot,2015,10.1094/php-rs-15-0040,"Prom, L.K.; Isakeit, T.; Cuevas, H.E.; Rooney, W.; Perumal, R.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1094/php-rs-15-0040; 322838; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916003351607426; https://openalex.org/W2883683815,https://doi.org/10.1094/php-rs-15-0040; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916003351607426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=322838,4,prom_zonate_rough_leaf_spot_2015,Linked to a source described in Table S1,,OpenAlex citation links,4
prombib_074,The impact of weather conditions on response of sorghum genotypes to anthracnose (Colletotrichum sublineola) infection,2015,10.9734/ajea/2015/14589,"Prom, L.K.; Perumal, R.; Isakeit, T.; Radwan, G.; Rooney, W.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.9734/ajea/2015/14589; 311676; https://openalex.org/W2003750242,https://doi.org/10.9734/ajea/2015/14589; https://www.ars.usda.gov/research/publications/publication/?seqNo115=311676,16,prom_weather_anthracnose_genotypes_2015,Linked to a source described in Table S1,,OpenAlex citation links,16
prombib_075,Assessing the vulnerability of sorghum converted lines to anthracnose and downy mildew infection,2016,,"Prom, L.K.; Perumal, R.; Cuevas, H.E.; Radwan, G.; Katile, S.; Isakeit, T.; Magill, C.",OpenAlex; USDA-ARS TEKTRAN,2,334817; https://openalex.org/W2624936655,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm; https://www.ars.usda.gov/research/publications/publication/?seqNo115=334817,0,prom_converted_lines_anthracnose_downy_2016,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_076,Effects of inoculation of Fusarium thapsinum and Curvularia lunata on mycoflora of sorghum grain and seed germination,2016,,"Katile, S.; Prom, L.K.; Diourte, M.; Rooney, W.L.; Magill, C.",USDA-ARS TEKTRAN,1,331459,https://www.ars.usda.gov/research/publications/publication/?seqNo115=331459,0,,Bibliographic context,,Bibliographic metadata,0
prombib_077,Grain biodeterioration of sorghum converted lines inoculated with a mixture of Fusarium thapsinum and Curvularia lunata,2016,10.3923/ppj.2017.19.24,"Prom, L.K.; Radwan, G.; Perumal, R.; Cuevas, H.E.; Katile, S.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2017.19.24; 334819; https://openalex.org/W2561521561,https://doi.org/10.3923/ppj.2017.19.24; https://www.ars.usda.gov/research/publications/publication/?seqNo115=334819,14,prom_converted_lines_grain_biodeterioration_2016,Linked to a source described in Table S1,,Publisher reference list,14
prombib_078,A pictorial illustration of the inhibition of mycelial growth and spore germination of various sorghum fungal pathogens by a Bacillus species,2017,,"Prom, L.K.; Medrano, E.G.; Isakeit, T.; Jacobsen, R.; Droleskey, R.E.",OpenAlex; USDA-ARS TEKTRAN,2,346844; https://openalex.org/W2802771719,https://www.ars.usda.gov/research/publications/publication/?seqNo115=346844; https://www.imedpub.com/articles/a-pictorial-illustration-of-the-inhibition-of-mycelial-growth-and-spore-germination-of-various-sorghum-fungal-pathogens-by-a-bacil.pdf,0,,Bibliographic context,,Bibliographic metadata,0
prombib_079,Aggressiveness of loose kernel smut isolate from Johnson grass on sorghum line BTx643,2017,,"Prom, L.K.; Magill, C.; Droleskey, R.E.",OpenAlex; USDA-ARS TEKTRAN,2,346838; https://openalex.org/W3155500161,https://ideas.repec.org/a/arp/jacarp/2017p94-96.html; https://www.ars.usda.gov/research/publications/publication/?seqNo115=346838,0,,Bibliographic context,,Bibliographic metadata,0
prombib_080,"Effect of fungicides on anthracnose and grain mold of sorghum in Wharton County, Texas, 2016",2017,,"Isakeit, T.; Prom, L.K.; Janak, T.; Grichar, J.",USDA-ARS TEKTRAN,1,336698,https://www.ars.usda.gov/research/publications/publication/?seqNo115=336698,0,,Bibliographic context,,Bibliographic metadata,0
prombib_081,Screening of sorghum lines against long smut and grain mold pathogens,2017,10.3923/ijpp.2017.23.27,"Prom, L.K.; Cisse, N.; Perumal, R.; Cuevas, H.E.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ijpp.2017.23.27; 346839; https://openalex.org/W2768241814,https://doi.org/10.3923/ijpp.2017.23.27; https://www.ars.usda.gov/research/publications/publication/?seqNo115=346839,9,prom_lines_long_smut_grain_mold_2017,Linked to a source described in Table S1,,Publisher reference list,9
prombib_082,Sorghum production and anthracnose disease management in future global energy and food security,2017,,"Prom, L.K.",USDA-ARS TEKTRAN,1,346925,https://www.ars.usda.gov/research/publications/publication/?seqNo115=346925,0,,Bibliographic context,,Bibliographic metadata,0
prombib_083,The role of plant pathology and plant pathology journals in future food security,2017,,"Prom, L.K.",OpenAlex; USDA-ARS TEKTRAN,2,346926; https://openalex.org/W2785866295,https://www.ars.usda.gov/research/publications/publication/?seqNo115=346926; https://www.imedpub.com/articles/the-role-of-plant-pathology-and-plant-pathology-journals-in-future-food-security.pdf,2,,Literature context for another crop,,Literature context,
prombib_084,Defense responses against the sorghum anthracnose pathogen in leaf blade and midrib tissue of johnsongrass and sorghum,2018,10.1016/j.pmpp.2018.12.008,"Ahn, E.; Prom, L.K.; Odvody, G.; Magill, C.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1016/j.pmpp.2018.12.008; 360532; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915999884407426; https://openalex.org/W2906309971,https://doi.org/10.1016/j.pmpp.2018.12.008; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915999884407426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=360532,15,prom_leaf_tissue_anthracnose_defense_2018,Linked to a source described in Table S1,,Publisher reference list,15
prombib_085,Estimation of plant health in a sorghum field infected with anthracnose using a fixed-wing unmanned aerial system,2018,10.1080/15427528.2018.1535462,"Pugh, N.; Han, X.; Collins, D.; Thomasson, A.; Cope, D.; Chang, A.; Jung, J.; Isakeit, T.; Prom, L.K.; Carvalho, G.; Gates, I.; Vree, A.; Bagnall, G.; Rooney, W.",Crossref; OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,4,10.1080/15427528.2018.1535462; 353328; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916018767307426; https://openalex.org/W2899294079,https://doi.org/10.1080/15427528.2018.1535462; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916018767307426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=353328,41,prom_uav_anthracnose_health_2018,Linked to a source described in Table S1,,Publisher reference list,41
prombib_086,Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel,2018,10.3835/plantgenome2017.11.0099,"Cuevas, H.E.; Prom, L.K.; Cooper, E.A.; Knoll, J.E.; Ni, X.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,7,10.3835/plantgenome2017.11.0099; 30025025; 345522; 349495; 357887; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916081761907426; https://openalex.org/W2794789721,https://doi.org/10.3835/plantgenome2017.11.0099; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916081761907426; https://pubmed.ncbi.nlm.nih.gov/30025025/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=345522; https://www.ars.usda.gov/research/publications/publication/?seqNo115=349495; https://www.ars.usda.gov/research/publications/publication/?seqNo115=357887,78,prom_sap_anthracnose_2018,Linked to a source described in Table S1,,Publisher reference list,76
prombib_087,"Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose",2018,10.3923/ppj.2018.75.79,"Prom, L.K.; Cuevas, H.E.; Perumal, R.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2018.75.79; 358508; https://openalex.org/W2901637120,https://doi.org/10.3923/ppj.2018.75.79; https://www.ars.usda.gov/research/publications/publication/?seqNo115=358508,13,prom_three_line_anthracnose_inheritance_2018,Linked to a source described in Table S1,,Publisher reference list,13
prombib_088,Mycoflora analysis and other measured parameters of sorghum seeds collected from Puerto Rico and Mexico,2018,10.3923/ppj.2018.80.86,"Prom, L.K.; Cuevas, H.E.; Isakeit, T.; Perumal, R.; Erathaimuthu, S.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.3923/ppj.2018.80.86; 358493; https://openalex.org/W2900822012,https://doi.org/10.3923/ppj.2018.80.86; https://www.ars.usda.gov/research/publications/publication/?seqNo115=358493,14,prom_pr_mexico_seed_mycoflora_2018,Linked to a source described in Table S1,,Publisher reference list,14
prombib_089,Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes,2018,10.1371/journal.pone.0191877,"Cuevas, H.E.; Prom, L.K.; Rosa, G.M.",Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,13,10.1371/journal.pone.0191877; 29444109; 339320; 5888377; 5888386; 5888395; 5888410; 5888422; 5888434; 5888446; 5888458; 5888467; https://openalex.org/W2793930843,https://doi.org/10.1371/journal.pone.0191877; https://plos.figshare.com/articles/dataset/Allelic_diversity_of_NPGS_Senegal_sorghum_germplasm_populations_/5888446; https://plos.figshare.com/articles/dataset/Pairwise_estimates_of_F_sub_ST_sub_in_NPGS_Senegal_sorghum_populations_based_on_the_analysis_of_221_SSR_alleles_/5888434; https://plos.figshare.com/articles/dataset/Phenotype_analysis_of_NPGS_Senegal_sorghum_germplasm_populations_/5888458; https://plos.figshare.com/articles/dataset/Population_structure_of_the_NPGS_Senegalese_sorghum_collection_and_its_evaluation_to_identify_new_disease_resistant_genes/5888377; https://plos.figshare.com/articles/dataset/Seed_quality_of_NPGS_Senegal_sorghum_accessions_resistant_to_grain_mold_/5888467; https://plos.figshare.com/articles/figure/Distribution_of_allele_sharing_genetic_distance_among_158_NPGS_Senegal_sorghum_accessions_/5888386; https://plos.figshare.com/articles/figure/Neighbor-joining_tree_of_158_NPGS_Senegalese_accessions_/5888410; https://plos.figshare.com/articles/figure/Population_structure_analysis_of_158_NPGS_Senegalese_sorghum_accessions_/5888395; https://plos.figshare.com/articles/figure/Seed_quality_distribution_of_158_NPGS_Senegal_sorghum_accessions_and_three_references_lines_/5888422; https://pubmed.ncbi.nlm.nih.gov/29444109/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=339320,56,prom_senegal_seed_quality_2018,Linked to a source described in Table S1,,Publisher reference list,52
prombib_090,Response of sorghum lines and hybrids from the United States to long smut and grain mold,2018,10.32861/jac.411.152.156,"Prom, L.K.; Cisse, N.; Perumal, R.; Cuevas, H.E.",OpenAlex; USDA-ARS TEKTRAN,2,358498; https://openalex.org/W4249596584,https://doi.org/10.32861/jac.411.152.156; https://www.ars.usda.gov/research/publications/publication/?seqNo115=358498,16,prom_us_lines_long_smut_grain_mold_2018,Linked to a source described in Table S1,,OpenAlex citation links,16
prombib_091,Responses of Johnsongrass against sorghum anthracnose isolates,2018,10.4172/2157-7471.1000442,"Ahn, E.; Prom, L.K.; Odvody, G.; Magill, C.",USDA-ARS TEKTRAN,1,354783,https://www.ars.usda.gov/research/publications/publication/?seqNo115=354783,0,,Bibliographic context,,Bibliographic metadata,0
prombib_092,Sorghum breeding for biotic stress tolerance,2018,10.19103/as.2017.0015.10,Ramasamy Perumal; Clint W. Magill; Gary C. Peterson; Louis K. Prom; Elfadil M. Bashir; Tesfaye T. Tesso; Desalegn D. Serba; Christopher R. Little,Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.19103/as.2017.0015.10; 340548; https://openalex.org/W2829147403,https://doi.org/10.19103/as.2017.0015.10; https://www.ars.usda.gov/research/publications/publication/?seqNo115=340548,0,,Bibliographic context,,Bibliographic metadata,0
prombib_093,"Sorghum breeding for biotic stress tolerance Texas AM Gary C. Peterson, Texas A&M AgriLife Research and University, USA",2018,10.1201/9781351114462-11,Louis K. Prom; Tesfaye T. Tesso; Elfadil M. Bashir,OpenAlex,1,https://openalex.org/W3096211763,https://www.taylorfrancis.com/books/e/9781351114462/chapters/10.1201/9781351114462-11,0,,Broader sorghum literature context,,Literature context,
prombib_094,Uncovering novel sources of anthracnose resistance in populations of genetically diverse sorghums (Final Report),2018,10.2172/1901798,Hugo E. Cuevas; Louis K. Prom; Joseph Knoll; Wilfred Vermerris; Jason G. Wallace,Crossref; OpenAlex,2,10.2172/1901798; https://openalex.org/W4391718257,http://doi.org/10.2172/1901798; https://doi.org/10.2172/1901798,0,prom_anthracnose_final_report_2018,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_095,Anthracnose resistant response of the USDA-NPGS sweet sorghum [Sorghum bicolor (L.)] germplasm collection,2019,,"Cuevas, H.E.; Prom, L.K.; Knoll, J.E.; Vermerris, W.",USDA-ARS TEKTRAN,1,362672,https://www.ars.usda.gov/research/publications/publication/?seqNo115=362672,0,,Bibliographic context,,Bibliographic metadata,0
prombib_096,"Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut",2019,10.1371/journal.pone.0216671,"Ahn, E.; Hu, Z.; Perumal, R.; Prom, L.K.; Odvody, G.; Upadhyaya, H.; Magill, C.",Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,11,10.1371/journal.pone.0216671; 31086384; 360823; 8125778; 8125784; 8125790; 8125799; 8125805; 8125811; 8125817; https://openalex.org/W2946817813,https://doi.org/10.1371/journal.pone.0216671; https://plos.figshare.com/articles/dataset/Top_SNPs_associated_with_anthracnose_/8125805; https://plos.figshare.com/articles/dataset/Top_SNPs_associated_with_downy_mildew_/8125811; https://plos.figshare.com/articles/dataset/Top_SNPs_associated_with_head_smut_/8125817; https://plos.figshare.com/articles/figure/Genome-wide_association_analysis_for_anthracnose_in_sorghum_mini_core_collection_/8125784; https://plos.figshare.com/articles/figure/Genome-wide_association_analysis_for_downy_mildew_in_sorghum_mini_core_collection_/8125790; https://plos.figshare.com/articles/figure/Genome-wide_association_analysis_for_head_smut_in_sorghum_mini_core_collection_/8125799; https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778; https://pubmed.ncbi.nlm.nih.gov/31086384/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=360823,72,prom_minicore_multidisease_2019,Linked to a source described in Table S1,,Publisher reference list,72
prombib_097,Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm,2019,10.1534/g3.119.400350,"Cuevas, H.E.; Prom, L.K.; Cruet-Burgos, C.",Ag Data Commons/Figshare; Crossref; OpenAlex; PubMed; USDA-ARS TEKTRAN,5,10.1534/g3.119.400350; 31289022; 356659; 8127200; https://openalex.org/W2959236652,https://doi.org/10.1534/g3.119.400350; https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cuevas_Prom_and_Cruet-Burgos_2019/8127200; https://pubmed.ncbi.nlm.nih.gov/31289022/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=356659,40,prom_ethiopia_anthracnose_2019,Linked to a source described in Table S1,,Publisher reference list,40
prombib_098,Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel,2019,10.3835/plantgenome2018.09.0070,"Cuevas, H.E.; Fermin-Perez, R.A.; Prom, L.K.; Cooper, E.; Bean, S.R.; Rooney, W.L.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,5,10.3835/plantgenome2018.09.0070; 31290917; 357756; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916221421807426; https://openalex.org/W2936158364,https://doi.org/10.3835/plantgenome2018.09.0070; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916221421807426; https://pubmed.ncbi.nlm.nih.gov/31290917/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=357756,61,prom_sap_grain_mold_pr_2019,Linked to a source described in Table S1,,Publisher reference list,61
prombib_099,GWAS analysis of sorghum association panel lines identifies SNPs associated with disease response to Texas isolates of Colletotrichum sublineola,2019,10.1007/s00122-019-03285-5,"Prom, L.K.; Ahn, E.; Isakeit, T.; Magill, C.",Crossref; OpenAlex; PubMed; USDA NAL PubAg; USDA-ARS TEKTRAN,5,10.1007/s00122-019-03285-5; 30688991; 352734; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916313853507426; https://openalex.org/W2912922003,https://doi.org/10.1007/s00122-019-03285-5; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916313853507426; https://pubmed.ncbi.nlm.nih.gov/30688991/; https://www.ars.usda.gov/research/publications/publication/?seqNo115=352734,52,prom_sap_texas_anthracnose_2019,Linked to a source described in Table S1,,Publisher reference list,50
prombib_100,Mating type a locus alleles and genomic polymorphism in Sporisorium reilianum: Comparison of sorghum isolates to those from maize,2019,10.1007/s13313-018-0607-3,"Radwan, G.; Prom, L.K.; Odvody, G.; Magill, C.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.1007/s13313-018-0607-3; 350264; https://openalex.org/W2907758493,https://doi.org/10.1007/s13313-018-0607-3; https://www.ars.usda.gov/research/publications/publication/?seqNo115=350264,35,,Bibliographic context,,Publisher reference list,35
prombib_101,New sources of sorghum resistant genotypes to downy mildew diseases in Uganda,2019,10.13057/biodiv/d201136,"Kumi, F.; Badji, A.; Mwila, N.; Odong, T.; Ochwossemakula, M.; Tusiime, G.; Gibson, P.; Biruma, M.; Prom, L.K.; Cuevas, H.E.; Agbahoungba, S.; Rubaihayo, P.",OpenAlex; USDA NAL PubAg; USDA-ARS TEKTRAN,3,370061; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915808789707426; https://openalex.org/W3000584243,https://doi.org/10.13057/biodiv/d201136; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915808789707426; https://www.ars.usda.gov/research/publications/publication/?seqNo115=370061,19,prom_uganda_downy_mildew_2019,Linked to a source described in Table S1,,OpenAlex citation links,19
prombib_102,Response to anthracnose and germination rate of Colletotrichum sublineola acervuli of greenhouse-grown sorghum,2019,10.32861/jac.512.266.269,"Prom, L.K.; Isakeit, T.; Radwan, G.",USDA-ARS TEKTRAN,1,370076,https://www.ars.usda.gov/research/publications/publication/?seqNo115=370076,0,,Bibliographic context,,Bibliographic metadata,0
