Source identifier,Date located,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Source file SHA-256,Published rights or license terms,Location of rights or license terms,Reuse permitted by published terms,Disease or diseases,Germplasm detail,Phenotype detail,Assay or field context,Relationship to measurements in other reports,Scientific use,Starting publication identifiers,Starting publication titles,Citation-tracing depth,Matching source identifiers
onegen_0167,2026-07-14,Importance of plant colour and modifier genes in grain mould resistance in sorghum,Importance of plant colour and modifier genes in grain mould resistance in sorghum,10.4314/eaafj.v61i1.46789,,,,2026-07-14,,,,,,,,,,Literature context,prombib_011; prombib_015; prombib_022; prombib_044; prombib_045; prombib_064; prombib_067; prombib_088; prombib_090; prombib_105; prombib_110; prombib_147; prombib_171,"Agronomic traits of sorghum cultivars from the US and Senegal and their response to grain mold infection; Effect of chitinase and thaumatin on mycelial growth of five sorghum (Sorghum bicolor (L.) Moench) grain molding fungi under in vitro conditions; Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Mycoflora analysis and other measured parameters of sorghum seeds collected from Puerto Rico and Mexico; Mycoflora analysis of hybrid sorghum grain collected from different locations in South Texas; Reaction of sorghum differentials to grain mold infection in Puerto Rico; Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi; Response of sorghum lines and hybrids from the United States to long smut and grain mold; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens; Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination; The Effects of Fusarium thapsinum, Curvularia lunata , and Their Combination on Sorghum Germination and Seed Mycoflora",1,
onegen_0168,2026-07-14,Improved sorghum hybrids with grain mold resistance,Improved sorghum hybrids with grain mold resistance. Journal of SAT Agricultural Research. 2008.,ICRISAT-OAR:2695,https://oar.icrisat.org/2695/,https://oar.icrisat.org/2695/1/improvedsorghum6%281%29.pdf,onegen_0168_improved_sorghum_hybrids_grain_mold_icrisat.pdf,2026-07-14,151403ec1d5b3a438e68e3e570b877f452bd7b890d87d0eeadfcf2ea036cd25d,Public repository copy available,ICRISAT OAR record,,Grain mold,25 named hybrids and parents,Grain-mold responses for 25 named hybrids and parents,ICRISAT screening,Distinct improved-hybrid grain-mold experiment.,Descriptive scientific context,prombib_064; prombib_090; prombib_105; prombib_110,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Response of sorghum lines and hybrids from the United States to long smut and grain mold; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens",1,
onegen_0169,2026-07-14,In vitro and field based evaluation for grain mold resistance and its impact on quality traits in sorghum [Sorghum bicolor (L.) Moench],Tomar. Kansas State University thesis. 2016.,K-State:handle/2097/32638,http://hdl.handle.net/2097/32638,http://hdl.handle.net/2097/32638,onegen_0169.pdf,2026-07-14,13f91931badfb271466ceb469a5b321828e09cd4e72f73d2a61ab615d4921302,Public thesis record available through Kansas State University,K-State repository rights statement,Publisher permission governs redistribution,Grain mold,Eight named check genotypes in Table 3.4; the broader study reports 229 SAP genotypes,Table 3.4 reports PGMR and TGMR values for eight named checks across the listed years and treatments,Kansas field evaluations,K-State grain-mold experiment; the published table reports a selected subset of controls,Descriptive scientific context,prombib_098,Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel,1,
onegen_0170,2026-07-14,INCIDENCE AND DISTRIBUTION OF DOWNY MILDEW DISEASE (PERONOSCLEROSPORA SORGHI) OF SORGHUM IN UGANDA.,INCIDENCE AND DISTRIBUTION OF DOWNY MILDEW DISEASE (PERONOSCLEROSPORA SORGHI) OF SORGHUM IN UGANDA.,10.21474/ijar01/7117,,,,2026-07-14,,,,,,,,,,Literature context,prombib_101,New sources of sorghum resistant genotypes to downy mildew diseases in Uganda,1,
onegen_0171,2026-07-14,Incidence and Severity of Sorghum Anthracnose in Ethiopia,Incidence and Severity of Sorghum Anthracnose in Ethiopia,10.3923/ppj.2010.23.30,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055; prombib_112; prombib_136; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew; Survey of the prevalence and incidence of foliar and panicle diseases of sorghum across production fields in Niger",1,
onegen_0172,2026-07-14,"Incidence and severity of turcicum leaf blight caused by Exserohilum turcicum (pass.) Leonard and Suggs) on sorghum populations in different regions of Tharaka Nithi County, Kenya","Incidence and severity of turcicum leaf blight caused by Exserohilum turcicum (pass.) Leonard and Suggs) on sorghum populations in different regions of Tharaka Nithi County, Kenya",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_174,Genomic analysis of resistance to Exserohilum turcicum in Nigerien and Senegalese sorghum using GWAS and machine learning,1,
onegen_0173,2026-07-14,Incidence of charcoal rot of sorghum and soil populations of Macrophomina phaseolina associated with sorghum and native vegetation in Somalia,Incidence of charcoal rot of sorghum and soil populations of Macrophomina phaseolina associated with sorghum and native vegetation in Somalia,10.1007/bf00437203,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0174,2026-07-14,Incidence of head smut Sporisorium reilianum (Kühn) Langdon and Fullerton in sorghum [Sorghum bicolor (L.) Moench.] hybrids with A1 and A2 cytoplasms.,Incidence of head smut Sporisorium reilianum (Kühn) Langdon and Fullerton in sorghum [Sorghum bicolor (L.) Moench.] hybrids with A1 and A2 cytoplasms.,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut,1,
onegen_0175,2026-07-14,"Incidence, severity, and prevalence of sorghum diseases in the major production regions in Niger","Incidence, Severity, and Prevalence of Sorghum Diseases in the Major Production Regions in Niger (2023)",10.5539/jps.v12n1p48,https://doi.org/10.5539/jps.v12n1p48,,main article tables,,,,Https://doi.org/10.5539/jps.v12n1p48,,Multiple sorghum diseases,Observations from individually identified production fields,Field-survey summaries provide regional disease context,"Field survey of disease incidence, severity, and prevalence in the major sorghum-producing regions of Niger.",Survey evidence provides regional disease context,Literature context,prombib_137; prombib_138; prombib_158; prombib_174,"A genome-wide association study of Nigerien and Senegalese sorghum germplasms of Exserohilum turcicum, the causal agent of leaf blight; A survey of the major sorghum production regions for foliar and panicle diseases during the 2022 growing season in Senegal, West Africa; Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew; Genomic analysis of resistance to Exserohilum turcicum in Nigerien and Senegalese sorghum using GWAS and machine learning",1,prom_niger_disease_incidence_2023
onegen_0176,2026-07-14,"Influence of Planting Depths on the Incidence of Sorghum Head Smut, caused by Sporisorium reilianum","Influence of Planting Depths on the Incidence of Sorghum Head Smut, Caused by Sporisorium reilianum (2014)",10.56369/tsaes.1706,https://doi.org/10.56369/tsaes.1706,,main article tables,,,,Https://doi.org/10.56369/tsaes.1706,,Head smut,Planting-depth treatment study,Management experiment used for treatment context,Disease-management context,Planting-depth management experiment; named-accession screens provide comparative germplasm responses.,Literature context,prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut,1,prom_planting_depth_head_smut_2014
onegen_0177,2026-07-14,Influence of Primary Weather Variables on Sorghum Leaf Blight Severity in Southern Africa,Influence of Primary Weather Variables on Sorghum Leaf Blight Severity in Southern Africa,10.1094/phyto-80-943,,,,2026-07-14,,,,,,,,,,Literature context,prombib_074,The impact of weather conditions on response of sorghum genotypes to anthracnose (Colletotrichum sublineola) infection,1,
onegen_0178,2026-07-14,Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14,Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14 (2014),10.1007/s11032-014-0151-y,https://doi.org/10.1007/s11032-014-0151-y,,article and supplementary files,,,,Https://doi.org/10.1007/s11032-014-0151-y,,Anthracnose,SC112-14 mapping population,Disease-response values for candidate families and lines,,,Literature context,prombib_069; prombib_086; prombib_087; prombib_097; prombib_103; prombib_106,"Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan sorghum core collection; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose",1,prom_sc112_inheritance_mapping_2014
onegen_0179,2026-07-14,Inheritance of Anthracnose Resistance for the Sorghum Cultivar Redlan,Erpelding JE. Plant Pathology Journal. 2007;6:187-190.,10.3923/ppj.2007.187.190,https://doi.org/10.3923/ppj.2007.187.190,https://scialert.net/fulltext/?doi=ppj.2007.187.190,onegen_0179.html,2026-07-14,2a9c42a93c310240c5165cc97e897af8f8fb95f7ac4688117a1a74fddd90b8b2,Publisher copyright stated,Public full-text HTML,Publisher permission governs redistribution,Anthracnose,Two named parents (Redlan and PI 609251); aggregate counts for 479 F2 plants,Named-parent qualitative and timepoint responses; F2 progeny are reported in aggregate,Greenhouse inheritance study,Distinct Redlan inheritance experiment.,Descriptive scientific context,prombib_055; prombib_066; prombib_087; prombib_103; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan sorghum core collection; Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14; Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0180,2026-07-14,Inheritance of grain mold resistance in grain sorghum without a pigmented testa,Inheritance of grain mold resistance in grain sorghum without a pigmented testa,10.2135/cropsci2000.4061573x,,,,2026-07-14,,,,,,,,,,Literature context,prombib_069; prombib_161,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; The NPGS Sudanese sorghum core collection encloses novel grain mold resistant germplasm,1,
onegen_0181,2026-07-14,"Inoculation and Screening Methods for Major Sorghum Diseases Caused by Fungal Pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina","Inoculation and Screening Methods for Major Sorghum Diseases Caused by Fungal Pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina (2023)",10.3390/plants12091906,https://doi.org/10.3390/plants12091906,,article,,,Creative Commons Attribution 4.0,Https://doi.org/10.3390/plants12091906,Reuse permitted under the published terms,Multiple sorghum diseases,Methods review,Disease measurements reported in the original source,,Methods review; the cited source studies report the original disease measurements,Literature context,prombib_167,Seed quality drives grain yield in Ethiopian and Senegalese sorghum: Insights from machine learning,1,prom_sorghum_disease_methods_2023
onegen_0182,2026-07-14,Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot,Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot (2005),10.1300/J153v07n01_02,https://doi.org/10.1300/J153v07n01_02,,main article tables,,,,Https://doi.org/10.1300/J153v07n01_02,,Ergot,Sorghum genotypes,Disease-response values for candidate genotypes,,,Literature context,prombib_021; prombib_028; prombib_047; prombib_145,"Disease Severity and Susceptibility of Sorghum [Sorghum bicolor (L.) Moench.] to Infection by Claviceps africana Frederickson, Mantle and de Milliano in Mexico and the United States of America; Ergot Response for the Sorghum Genotype IS8525; Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina; Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",1,prom_ergot_inoculation_genotypes_2005
onegen_0183,2026-07-14,Integrating resistance and tolerance for improved evaluation of sorghum lines against Fusarium stalk rot and charcoal rot,Integrating resistance and tolerance for improved evaluation of sorghum lines against Fusarium stalk rot and charcoal rot,10.1007/s12600-014-0451-0,,,,2026-07-14,,,,,,,,,,Literature context,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",1,
onegen_0184,2026-07-14,"Isakeit, T., Collins, S.D., Rooney, W.L. and Prom, L.K. (2008) Reaction of Sorghum Hybrids to Anthracnose, Grain Mold and Grain Weathering in Burleson County, Texas, 2007. Plant Disease Management Reports, 2, FC003.","Isakeit, T., Collins, S.D., Rooney, W.L. and Prom, L.K. (2008) Reaction of Sorghum Hybrids to Anthracnose, Grain Mold and Grain Weathering in Burleson County, Texas, 2007. Plant Disease Management Reports, 2, FC003.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_147,Reaction of sorghum differentials to grain mold infection in Puerto Rico,1,
onegen_0185,2026-07-14,"Isakeit, T., Collins, S. D., Rooney, W. L., & Prom, L. K. (2008a). Reaction of sorghum hybrids to anthracnose and grain weathering in Burleson County, Texas, 2007. Plant Disease Management Reports, 2, FC003 https://www.plantmanagementnetwork.org › pub › trial › pdmr.","Isakeit, T., Collins, S. D., Rooney, W. L., & Prom, L. K. (2008a). Reaction of sorghum hybrids to anthracnose and grain weathering in Burleson County, Texas, 2007. Plant Disease Management Reports, 2, FC003 https://www.plantmanagementnetwork.org › pub › trial › pdmr.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",1,
onegen_0186,2026-07-14,"Isakeit T, Collins S, Rooney W, Prom L (2008) Reaction of sorghum hybrids to anthracnose, grain mold and grain weathering in Burleson County, Texas, 2007. Plant Disease Management Reports 2","Isakeit T, Collins S, Rooney W, Prom L (2008) Reaction of sorghum hybrids to anthracnose, grain mold and grain weathering in Burleson County, Texas, 2007. Plant Disease Management Reports 2",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_165,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold,1,
onegen_0187,2026-07-14,"Isakeit T, Collins SD, Rooney WL, Prom LK (2008) Reaction of sorghum hybrids to anthracnose, grain mold and grain weathering in Burleson County, Texas, 2007. Plant Dis Manag Rep 2:FC003","Isakeit T, Collins SD, Rooney WL, Prom LK (2008) Reaction of sorghum hybrids to anthracnose, grain mold and grain weathering in Burleson County, Texas, 2007. Plant Dis Manag Rep 2:FC003",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_161,The NPGS Sudanese sorghum core collection encloses novel grain mold resistant germplasm,1,
onegen_0188,2026-07-14,"Isakeit, T., J. Jaster, 2005: Texas has a new pathotype of Peronosclerospora sorghi, the cause of sorghum downy mildew. Plant Dis. 89, 529.","Isakeit, T., J. Jaster, 2005: Texas has a new pathotype of Peronosclerospora sorghi, the cause of sorghum downy mildew. Plant Dis. 89, 529.",10.1094/pd-89-0529a,,,,2026-07-14,,,,,,,,,,Literature context,prombib_043; prombib_046; prombib_063; prombib_096; prombib_158,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA; Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut; Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew; Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA; Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype (P6) of Peronosclerospora sorghi Causing Downy Mildew",1,
onegen_0189,2026-07-14,"Isakeit T, Odvody GN (2006) Sorghum downy mildew reactions of grain sorghum hybrids, 2005. Biological and Cultural Tests 21: Report FC010, www.plantmanagementnetwork.org/pub/trial/bctests/vol21","Isakeit T, Odvody GN (2006) Sorghum downy mildew reactions of grain sorghum hybrids, 2005. Biological and Cultural Tests 21: Report FC010, www.plantmanagementnetwork.org/pub/trial/bctests/vol21",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_063,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA",1,
onegen_0190,2026-07-14,"Jones EM (1979) The inheritance of resistance to Colletotrichum graminicola in grain sorghum, Sorghum bicolor. Ph.D. dissertation Purdue Univ., West Lafayette, IN","Jones EM (1979) The inheritance of resistance to Colletotrichum graminicola in grain sorghum, Sorghum bicolor. Ph.D. dissertation Purdue Univ., West Lafayette, IN",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0191,2026-07-14,"Koima, I.N., Kilalo, D.C., Orek, C.O., Wagacha, J.M., and Nyaboga, E.N. (2023). Identification and Characterization of Colletotrichum Species Causing Sorghum Anthracnose in Kenya and Screening of Sorghum Germplasm for Resistance to Anthracnose. J. Fungi, 9.",Identification and Characterization of Colletotrichum Species Causing Sorghum Anthracnose in Kenya and Screening of Sorghum Germplasm for Resistance to Anthracnose (2023),10.3390/jof9010100,https://www.mdpi.com/2309-608X/9/1/100,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9864066/fullTextXML,PMC9864066.xml,2026-07-14,486a6c796878c99e38025e63da34b1dea1fab2a0fb4764524ad2ebd32796149e,Creative Commons Attribution 4.0,Https://www.mdpi.com/2309-608X/9/1/100,Reuse permitted under the published terms,Anthracnose,14 genotypes,Public greenhouse and field main tables,,Distinct Kenyan greenhouse and two-site field screens within one study,Descriptive scientific context,prombib_140; prombib_146; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Genetic diversity and classification of Colletotrichum sublineola pathotypes using a standard set of sorghum differentials; Multi-trait Genome-wide Association Studies of Sorghum bicolor regarding resistance to anthracnose, downy mildew, grain mold and head smut",1,ref_koima_kenya_anthracnose_2023
onegen_0192,2026-07-14,"Kumar, A.A., Reddy, B.V.S., Thakur, R.P. and Ramaiah, B. (2008) Improved Sorghum Hybrids with Grain Mold Resistance. Journal of SAT Agricultural Research, 6, 1-4.","Kumar, A.A., Reddy, B.V.S., Thakur, R.P. and Ramaiah, B. (2008) Improved Sorghum Hybrids with Grain Mold Resistance. Journal of SAT Agricultural Research, 6, 1-4.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_147,Reaction of sorghum differentials to grain mold infection in Puerto Rico,1,
onegen_0193,2026-07-14,"Kumar, A.A., Reddy, B.V.S., Thakur, R.P. and Ramaiah, B. (2008) Improved Sorghum Hybrids with Grain Mold Resistance. Journal SAT Agricultural Research , 6, 1-4.","Kumar, A.A., Reddy, B.V.S., Thakur, R.P. and Ramaiah, B. (2008) Improved Sorghum Hybrids with Grain Mold Resistance. Journal SAT Agricultural Research , 6, 1-4.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_171,Agronomic traits of sorghum cultivars from the US and Senegal and their response to grain mold infection,1,
onegen_0194,2026-07-14,"Kumar, A. A., Reddy, B. V. S., Thakur, R. P., & Ramaiah, B. (2008). Improved sorghum hybrids with grain mold resistance. Journal of SAT Agricultural Research, 6, 1–4 https://www.researchgate.net/publication/26630220_Improved_sorghum_hybrids_with_grain_mold_resistance.","Kumar, A. A., Reddy, B. V. S., Thakur, R. P., & Ramaiah, B. (2008). Improved sorghum hybrids with grain mold resistance. Journal of SAT Agricultural Research, 6, 1–4 https://www.researchgate.net/publication/26630220_Improved_sorghum_hybrids_with_grain_mold_resistance.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",1,
onegen_0195,2026-07-14,"Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola","Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola (2020)",10.1038/s41598-020-79473-x,https://doi.org/10.1038/s41598-020-79473-x,,article and supplementary files,,,,Https://doi.org/10.1038/s41598-020-79473-x,,Anthracnose,Sorghum and Johnsongrass plants,"Disease-response values for candidate sorghum lines, together with structural traits",,"Mixed-species experiment reporting structural traits and disease responses for sorghum and Johnsongrass",Literature context,prombib_145; prombib_151,"Correlations among agronomic traits obtained from sorghum accessions planted in a field infected with three important fungal diseases; Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",1,prom_leaf_traits_anthracnose_2020
onegen_0196,2026-07-14,Leslie J. F. and Wiley InterScience (Online service). 2002. “Sorghum and Millets Diseases.” Iowa State Press https://books.google.com/books?hl=en‎&id=njy9eDz1Cp0C&oi=fnd&pg=PR13&dq=Leslie +J.F.+(Ed.).+2008.+Sorghum+and+Millets+Diseases.+John+Wiley+%26+Sons.&ots=qpKGX_WI61&sig=KR6srJHK8Ul0Fu5VZbTsrJADHhA#v=onepage&q=Leslie%2C J.F. (Ed.). 2008. Sorghum and Millets Diseases. John Wiley %26 Sons.&f=false.,Leslie J. F. and Wiley InterScience (Online service). 2002. “Sorghum and Millets Diseases.” Iowa State Press https://books.google.com/books?hl=en‎&id=njy9eDz1Cp0C&oi=fnd&pg=PR13&dq=Leslie +J.F.+(Ed.).+2008.+Sorghum+and+Millets+Diseases.+John+Wiley+%26+Sons.&ots=qpKGX_WI61&sig=KR6srJHK8Ul0Fu5VZbTsrJADHhA#v=onepage&q=Leslie%2C J.F. (Ed.). 2008. Sorghum and Millets Diseases. John Wiley %26 Sons.&f=false.,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_085,Estimation of plant health in a sorghum field infected with anthracnose using a fixed-wing unmanned aerial system,1,
onegen_0197,2026-07-14,"Little, C. R., Perumal, R., Tesso, T., Prom, L. K., & Magill, C. W. (2012). Sorghum pathology and biotechnology: A fungal disease perspective: Part I. Grain mold, head smut, and ergot. European Journal of Plant Science and Biotechnology, 6, 10–30 http://www.globalsciencebooks.info/Online/GSBOnline/images/2012/EJPSB_6(SI1)/EJPSB_6(SI1)10-30o.pdf.","Little, C. R., Perumal, R., Tesso, T., Prom, L. K., & Magill, C. W. (2012). Sorghum pathology and biotechnology: A fungal disease perspective: Part I. Grain mold, head smut, and ergot. European Journal of Plant Science and Biotechnology, 6, 10–30 http://www.globalsciencebooks.info/Online/GSBOnline/images/2012/EJPSB_6(SI1)/EJPSB_6(SI1)10-30o.pdf.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",1,
onegen_0198,2026-07-14,Loose kernel smut for biocontrol of Sorghum halepense in Saccharum sp. hybrids,Loose kernel smut for biocontrol of Sorghum halepense in Saccharum sp. hybrids,10.1614/0043-1745(2000)048[0645:lksfbo]2.0.co;2,,,,2026-07-14,,,,,,,,,,Literature context,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,1,
onegen_0199,2026-07-14,"Mahmoud, A. F., Abou-Elwafa, S. F., & Shehzad, T. (2018). Identification of charcoal rot resistance QTLs in sorghum using association and in silico analyses. Journal of Applied Genetics, 59, 243–251.","Mahmoud, A. F., Abou-Elwafa, S. F., & Shehzad, T. (2018). Identification of charcoal rot resistance QTLs in sorghum using association and in silico analyses. Journal of Applied Genetics, 59, 243–251.",10.1007/s13353-018-0446-5,,,,2026-07-14,,,,,,,,,,Literature context,prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",1,
onegen_0200,2026-07-14,"Mantle, P. G., Hassan, H. A. G., and McLaren, N. W. 1999. Putative control of ergot disease epidemics in hybrid sorghum production through the inhibition of secondary sporulation by Claviceps africana. Pages 141-146 in: Proc. Conf. Ergot Sorghum, 1-8 June 1997, Sete Lagos, Brazil. C. R. Casela and J. A. Dahlberg, eds. EMBRAPA/INTSORMIL/ICRISAT Publ. 99-91.","Mantle, P. G., Hassan, H. A. G., and McLaren, N. W. 1999. Putative control of ergot disease epidemics in hybrid sorghum production through the inhibition of secondary sporulation by Claviceps africana. Pages 141-146 in: Proc. Conf. Ergot Sorghum, 1-8 June 1997, Sete Lagos, Brazil. C. R. Casela and J. A. Dahlberg, eds. EMBRAPA/INTSORMIL/ICRISAT Publ. 99-91.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_019,Survival of Claviceps africana Within Sorghum Panicles at Several Texas Locations.,1,
onegen_0201,2026-07-14,"Mehta PJ (2002) Genetic Anthracnose resistance genes in sorghum: characterization and molecular markers. Ph.D. dissertation Texas A&M Univ., College Station, TX","Mehta PJ (2002) Genetic Anthracnose resistance genes in sorghum: characterization and molecular markers. Ph.D. dissertation Texas A&M Univ., College Station, TX",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0202,2026-07-14,"Mehta PJ, Wiltse CC, Rooney WL, Collins SD, Frederiksen RA, Hess DE et al (2005) Classification and inheritance of genetic resistance to anthracnose in sorghum. Field Crops Res 93:1–9","Mehta PJ, Wiltse CC, Rooney WL, Collins SD, Frederiksen RA, Hess DE et al (2005) Classification and inheritance of genetic resistance to anthracnose in sorghum. Field Crops Res 93:1–9",10.1016/j.fcr.2004.09.001,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031; prombib_035; prombib_041; prombib_050; prombib_055; prombib_066; prombib_071; prombib_086; prombib_087; prombib_103; prombib_150,"A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose (Colletotrichum sublineolum) Resistance; Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Effect of Host Genotypes and Weather Variables on the Severity and Temporal Dynamics of Sorghum Anthracnose in Ethiopia; Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan sorghum core collection; Excised leaf method for high volume evaluation of sorghum germplasm for resistance against Colletotrichum sublineolum; Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14; Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose; Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
