Source identifier,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Reuse terms reported by source,Location of rights information,Use permitted by source terms,Disease or diseases,Germplasm described,Phenotype data described,Relationship to measurements in other reports,Evidence reviewed,Role in this study
prom_grain_mold_differentials_pr_2023,Reaction of Sorghum Differentials to Grain Mold Infection in Puerto Rico,"Prom LK, Cuevas HE. American Journal of Plant Sciences 14 (2023): 1207-1213.",10.4236/ajps.2023.1411081,https://doi.org/10.4236/ajps.2023.1411081,https://doi.org/10.4236/ajps.2023.1411081,prom_grain_mold_differentials_pr_2023.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.4236/ajps.2023.1411081,Derived results may be shared under the stated terms,Grain mold,Anthracnose or head smut differential line: 23,The complete public table contains 69 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_grain_mold_ml_2025,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold (2025),10.1038/s41437-025-00783-9,https://doi.org/10.1038/s41437-025-00783-9,,,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1038/s41437-025-00783-9,Source permission required for accession-level sharing,Grain mold,306 SAP accessions,The disease measurements were first reported by the Prom 2020 study,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_haplotype_grain_mold_2026,A haplotype-layered GWAS identifies a multi-trait grain mold resistance hub on sorghum chromosome 5,A haplotype-layered GWAS identifies a multi-trait grain mold resistance hub on sorghum chromosome 5 (2026),10.1007/s00122-026-05222-9,https://link.springer.com/article/10.1007/s00122-026-05222-9,https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-026-05222-9/MediaObjects/122_2026_5222_MOESM1_ESM.xlsx,122_2026_5222_MOESM1_ESM.xlsx,2026-07-14,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s00122-026-05222-9,Source permission required for accession-level sharing,Grain mold; anthracnose,306 grain-mold accessions plus duplicated anthracnose sheet,Public workbook available,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_head_smut_isolate_variability_2024,Genetic and Pathogenic Variability among Isolates of Sporisorium reilianum Causing Sorghum Head Smut,Genetic and Pathogenic Variability among Isolates of Sporisorium reilianum Causing Sorghum Head Smut (2024),10.3390/jof10010062,https://pmc.ncbi.nlm.nih.gov/articles/PMC10820674/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10820674/fullTextXML,PMC10820674.xml,2026-07-14,Creative Commons Attribution 4.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10820674/,Derived results may be shared under the stated terms,Head smut pathotype,21 Texas isolates by six sorghum differentials,Line-level binary R/S values public in main Table 1; plant counts only on request,Distinct measurements,Descriptive results,Quantitative disease-response evidence
prom_head_smut_virulence_2011,Virulence and Molecular Genotyping Studies of Sporisorium reilianum Isolates in Sorghum,Prom LK et al. Plant Disease 95 (2011): 523-529.,10.1094/PDIS-10-10-0720,https://doi.org/10.1094/PDIS-10-10-0720,https://doi.org/10.1094/PDIS-10-10-0720,prom_head_smut_virulence_2011.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1094/PDIS-10-10-0720,Source permission required for accession-level sharing,Head smut,Host differential: 5; Universally resistant host differential: 1; Universally susceptible host differential: 1,The complete public table contains 58 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_hybrid_seed_mycoflora_texas_2014,Mycoflora Analysis of Hybrid Sorghum Grain Collected from Different Locations in South Texas,Mycoflora Analysis of Hybrid Sorghum Grain Collected from Different Locations in South Texas (2014),10.9734/ajea/2015/14590,https://doi.org/10.9734/ajea/2015/14590,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.9734/ajea/2015/14590,Source permission required for accession-level sharing,Seed mycoflora,Hybrid sorghum grain samples from South Texas,Fungal-isolation study used for mycological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_leaf_angle_correction_2021,"Author Correction: Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola","Author Correction: Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola (2021)",10.1038/s41598-021-89272-7,https://doi.org/10.1038/s41598-021-89272-7,,correction notice,,Creative Commons Attribution 4.0,https://doi.org/10.1038/s41598-021-89272-7,Derived results may be shared under the stated terms,Anthracnose,Correction notice,Correction notice for the 2020 leaf-angle and anthracnose-response study.,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_leaf_blight_ml_2026,Machine-learning reanalysis of Nigerien and Senegalese sorghum leaf blight,Machine-learning reanalysis of Nigerien and Senegalese sorghum leaf blight (2026),10.3390/pathogens15040389,https://doi.org/10.3390/pathogens15040389,,,,Creative Commons Attribution 4.0,https://doi.org/10.3390/pathogens15040389,Derived results may be shared under the stated terms,Leaf blight,Approximately 100 accessions plus controls,The 2023 Washington leaf-blight study first reported these phenotype measurements.,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_leaf_tissue_anthracnose_defense_2018,Defense responses against the sorghum anthracnose pathogen in leaf blade and midrib tissue of Johnsongrass and sorghum,Defense responses against the sorghum anthracnose pathogen in leaf blade and midrib tissue of Johnsongrass and sorghum (2018),10.1016/j.pmpp.2018.12.008,https://doi.org/10.1016/j.pmpp.2018.12.008,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1016/j.pmpp.2018.12.008,Source permission required for accession-level sharing,Anthracnose,Selected sorghum and Johnsongrass plants and tissues,Mechanistic tissue-response experiment used for biological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_leaf_traits_anthracnose_2020,"Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola",Ahn E et al. Scientific Reports 10 (2020): 22320; corrected 2021.,10.1038/s41598-020-79473-x; 10.1038/s41598-021-89272-7,https://doi.org/10.1038/s41598-020-79473-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC7749152/,41598_2020_79473_MOESM2_ESM.docx,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.1038/s41598-020-79473-x,Derived results may be shared under the stated terms,Anthracnose,Sorghum cultivar mechanistic tissue assay: 3,The complete public table contains 576 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_lines_long_smut_grain_mold_2017,Screening of Sorghum Lines Against Long Smut and Grain Mold Pathogens,Prom LK et al. International Journal of Plant Pathology 8 (2017): 23-27.,10.3923/ijpp.2017.23.27,https://doi.org/10.3923/ijpp.2017.23.27,https://doi.org/10.3923/ijpp.2017.23.27,prom_lines_long_smut_grain_mold_2017.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ijpp.2017.23.27,Source permission required for accession-level sharing,Grain mold; Long smut,Grain mold resistant check: 2; Senegalese line: 2; U.S. line or hybrid: 19,The complete public table contains 46 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_mali_anthracnose_2004,Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose,"Erpelding JE, Prom LK. Plant Pathology Journal 3(2) (2004): 65-71.",10.3923/ppj.2004.65.71,https://doi.org/10.3923/ppj.2004.65.71,https://doi.org/10.3923/ppj.2004.65.71,prom_mali_anthracnose_2004.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2004.65.71,Source permission required for accession-level sharing,Anthracnose,Accession: 264; Accession duplicate seed lot: 6; Control: 16,The complete public table contains 572 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_minicore_multidisease_2019,"Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut","Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut (2019)",10.1371/journal.pone.0216671; 10.1371/journal.pone.0216671.s001,https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,https://ndownloader.figshare.com/files/15146012,pone.0216671.s001.docx,2026-07-14,Creative Commons Attribution 4.0,https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,Derived results may be shared under the stated terms,Anthracnose; Downy mildew; Head smut,245 accessions; paper reports n=245/240/229 by disease,Public accession table available,Measurements unique to this source within the reviewed literature,Full quantitative data,Quantitative disease-response evidence
prom_mozambique_anthracnose_2006,"Variation for Anthracnose Resistance within the Sorghum Germplasm Collection from Mozambique, Africa","Erpelding JE, Prom LK. Plant Pathology Journal 5(1) (2006): 28-34.",10.3923/ppj.2006.28.34,https://doi.org/10.3923/ppj.2006.28.34,https://doi.org/10.3923/ppj.2006.28.34,prom_mozambique_anthracnose_2006.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2006.28.34,Source permission required for accession-level sharing,Anthracnose,Accession: 22; Resistant control: 1; Susceptible control: 1,The complete public table contains 96 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_multitrait_reanalysis_2023,"Multi-Trait Genome-Wide Association Studies of Sorghum bicolor Regarding Resistance to Anthracnose, Downy Mildew, Grain Mold and Head Smut","Multi-Trait Genome-Wide Association Studies of Sorghum bicolor Regarding Resistance to Anthracnose, Downy Mildew, Grain Mold and Head Smut (2023)",10.3390/pathogens12060779,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,https://mdpi-res.com/d_attachment/pathogens/pathogens-12-00779/article_deploy/pathogens-12-00779-s001.zip,pathogens-12-00779-s001.zip::pathogens-2386562-supplementary.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,Derived results may be shared under the stated terms,Anthracnose; Downy mildew; Grain mold; Head smut,Combined prior panels,Public supplement reports derived PCA and combined values from the source measurements,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_near_isogenic_grain_mold_head_smut_2013,"Response of near-isogenic sorghum lines, differing at the P locus for plant colour, to grain mould and head smut fungi","Response of near-isogenic sorghum lines, differing at the P locus for plant colour, to grain mould and head smut fungi (2013)",10.1111/aab.12037,https://doi.org/10.1111/aab.12037,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1111/aab.12037,Source permission required for accession-level sharing,Grain mold; Head smut,Near-isogenic sorghum lines,Line-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_niger_disease_incidence_2023,"Incidence, Severity, and Prevalence of Sorghum Diseases in the Major Production Regions in Niger","Incidence, Severity, and Prevalence of Sorghum Diseases in the Major Production Regions in Niger (2023)",10.5539/jps.v12n1p48,https://doi.org/10.5539/jps.v12n1p48,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.5539/jps.v12n1p48,Source permission required for accession-level sharing,Multiple sorghum diseases,Observations from individually identified production fields,Field-survey summaries provide regional disease context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_niger_disease_survey_2020,Survey of the Prevalence and Incidence of Foliar and Panicle Diseases of Sorghum Across Production Fields in Niger,Survey of the Prevalence and Incidence of Foliar and Panicle Diseases of Sorghum Across Production Fields in Niger (2020),10.3923/ppj.2020.106.113,https://doi.org/10.3923/ppj.2020.106.113,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2020.106.113,Source permission required for accession-level sharing,Multiple sorghum diseases,Observations from individually identified production fields,Field-survey summaries provide regional disease context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_niger_senegal_downy_mildew_2024,Genome-Wide Association Study of Nigerien and Senegalese Sorghum Genotypes for their Response to Downy Mildew,Genome-Wide Association Study of Nigerien and Senegalese Sorghum Genotypes for their Response to Downy Mildew (2024),10.5539/jps.v14n1p1,https://doi.org/10.5539/jps.v14n1p1,https://ccsenet.org/journal/index.php/jps/article/download/0/0/51120/55469,article PDF,,Creative Commons Attribution 4.0,https://doi.org/10.5539/jps.v14n1p1,Derived results may be shared under the stated terms,Downy mildew,67 of 120 Niger/Senegal accessions screened,The article states that accession-level phenotype data are available on request,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_panelA_correlation_2024,Correlations among Agronomic Traits Obtained from Sorghum Accessions Planted in a Field Infected with Three Important Fungal Diseases,Correlations among Agronomic Traits Obtained from Sorghum Accessions Planted in a Field Infected with Three Important Fungal Diseases (2024),10.5539/jps.v13n1p11,https://doi.org/10.5539/jps.v13n1p11,,main article and USDA data record,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.5539/jps.v13n1p11,Source permission required for accession-level sharing,Anthracnose; Grain mold; rust,Puerto Rico sorghum accessions,The source table reports public disease values for these accessions,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_planting_depth_head_smut_2014,"Influence of Planting Depths on the Incidence of Sorghum Head Smut, Caused by Sporisorium reilianum","Influence of Planting Depths on the Incidence of Sorghum Head Smut, Caused by Sporisorium reilianum (2014)",10.56369/tsaes.1706,https://doi.org/10.56369/tsaes.1706,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.56369/tsaes.1706,Source permission required for accession-level sharing,Head smut,Planting-depth treatment study,Management experiment used for treatment context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_pr10_grain_mold_defense_2009,Expression of pathogenesis-related protein PR-10 in sorghum floral tissues in response to inoculation with Fusarium thapsinum and Curvularia lunata,Expression of pathogenesis-related protein PR-10 in sorghum floral tissues in response to inoculation with Fusarium thapsinum and Curvularia lunata (2009),10.1111/j.1364-3703.2009.00580.x,https://doi.org/10.1111/j.1364-3703.2009.00580.x,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1111/j.1364-3703.2009.00580.x,Source permission required for accession-level sharing,Grain mold,Selected sorghum lines and floral tissues,Mechanistic protein-expression experiment used for biological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_pr_mexico_seed_mycoflora_2018,Mycoflora Analysis and Other Measured Parameters of Sorghum Seeds Collected from Puerto Rico and Mexico,Mycoflora Analysis and Other Measured Parameters of Sorghum Seeds Collected from Puerto Rico and Mexico (2018),10.3923/ppj.2018.80.86,https://doi.org/10.3923/ppj.2018.80.86,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2018.80.86,Source permission required for accession-level sharing,Grain mold seed mycoflora,Sorghum seed samples from Puerto Rico and Mexico,Study-level fungal-isolation and seed-quality results for candidate lines and seed samples,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_ql3_is18760_anthracnose_inheritance_2021,The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760,Cuevas HE et al. Scientific Reports 11 (2021): 20525.,10.1038/s41598-021-99994-3,https://doi.org/10.1038/s41598-021-99994-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC8519964/,41598_2021_99994_MOESM4_ESM.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.1038/s41598-021-99994-3,Derived results may be shared under the stated terms,Anthracnose,Common susceptible parent: 2; Is18760 parent: 2; Ql3 parent: 2; Recombinant inbred line is18760 x pi609251: 127; Recombinant inbred line is18760 x pi609251 pathotype subset: 21; Recombinant inbred line ql3 x pi609251: 96; Recombinant inbred line ql3 x pi609251 pathotype subset: 22,The complete public table contains 1046 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_rna_seq_anthracnose_2021,RNA-Sequencing in Resistant (QL3) and Susceptible (Theis) Sorghum Cultivars Inoculated With Johnsongrass Isolates of Colletotrichum sublineola,RNA-Sequencing in Resistant (QL3) and Susceptible (Theis) Sorghum Cultivars Inoculated With Johnsongrass Isolates of Colletotrichum sublineola (2021),10.3389/fgene.2021.722519,https://doi.org/10.3389/fgene.2021.722519,,article and sequence data,,Creative Commons Attribution 4.0,https://doi.org/10.3389/fgene.2021.722519,Derived results may be shared under the stated terms,Anthracnose,QL3 and Theis,Mechanistic transcriptomic study used for biological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_sap_anthracnose_2018,Genome-Wide Association Mapping of Anthracnose Resistance in the U.S. Sorghum Association Panel,Genome-Wide Association Mapping of Anthracnose Resistance in the U.S. Sorghum Association Panel (2018),10.3835/plantgenome2017.11.0099,https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2017.11.0099,https://acsess.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.3835%2Fplantgenome2017.11.0099&file=tpg2plantgenome2017110099-sup-0001.xlsx,tpg2plantgenome2017110099-sup-0001.xlsx,,Reuse terms were not stated in the materials reviewed,https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2017.11.0099,Source permission required for accession-level sharing,Anthracnose,335 SAP accessions,"The publisher page listed an accession-level supplement, but the file response was HTML on 14 July 2026",Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_sap_fungal_diversity_2021,Diversity and frequency of fungal genera from sorghum lines inoculated with Alternaria alternata alone and in combination with Curvularia lunata and Fusarium thapsinum in a field infected with anthracnose,Diversity and frequency of fungal genera from sorghum lines inoculated with Alternaria alternata alone and in combination with Curvularia lunata and Fusarium thapsinum in a field infected with anthracnose (2021),10.33495/jacr_v9i11.21.166,https://doi.org/10.33495/jacr_v9i11.21.166,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.33495/jacr_v9i11.21.166,Source permission required for accession-level sharing,Grain mold seed mycoflora; anthracnose,Inoculated sorghum lines,Study-level fungal-isolation and disease-response results for candidate lines,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_sap_grain_mold_correlations_2021,"Correlations Among Grain Mold Severity, Seed Weight, and Germination Rate of Sorghum Association Panel Lines Inoculated With Alternaria alternata, Fusarium thapsinum, and Curvularia lunata","Correlations Among Grain Mold Severity, Seed Weight, and Germination Rate of Sorghum Association Panel Lines Inoculated With Alternaria alternata, Fusarium thapsinum, and Curvularia lunata (2021)",10.32861/jac.81.7.11,https://doi.org/10.32861/jac.81.7.11,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.32861/jac.81.7.11,Source permission required for accession-level sharing,Grain mold,SAP lines from the Texas inoculation experiment,Derived correlations and repeated line means from the 2020 Texas study,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_sap_grain_mold_pr_2019,Genome-Wide Association Mapping of Grain Mold Resistance in the US Sorghum Association Panel,Genome-Wide Association Mapping of Grain Mold Resistance in the US Sorghum Association Panel (2019),10.3835/plantgenome2018.09.0070,https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2018.09.0070,https://acsess.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.3835%2Fplantgenome2018.09.0070&file=tpg2plantgenome2018090070-sup-0002.xlsx,tpg2plantgenome2018090070-sup-0002.xlsx,,Reuse terms were not stated in the materials reviewed,https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2018.09.0070,Source permission required for accession-level sharing,Grain mold seed deterioration; emergence,"331 SAP accessions, four tropical environments","The publisher page lists an accession-level supplement; the 14 July 2026 request returned an access error",Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_sap_grain_mold_snp_reanalysis_2021,"SNPs that identify alleles with highest effect on grain mold ratings after inoculation with Alternaria alternata or with a mixture of Alternaria alternata, Fusarium thapsinum, and Curvularia lunata","SNPs that identify alleles with highest effect on grain mold ratings after inoculation with Alternaria alternata or with a mixture of Alternaria alternata, Fusarium thapsinum, and Curvularia lunata (2021)",10.33495/jacr_v9i3.21.117,https://www.ars.usda.gov/research/publications/publication/?seqNo115=381329,,main article tables,,Reuse terms were not stated in the materials reviewed,https://www.ars.usda.gov/research/publications/publication/?seqNo115=381329,Source permission required for accession-level sharing,Grain mold,SAP lines from the Texas inoculation experiment,Association reanalysis of the 2020 Texas accession-level grain-mold ratings,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_sap_grain_mold_texas_2020,Genome-wide association study of grain mold resistance in sorghum association panel as affected by Alternaria alone and a three-fungus mixture,Genome-wide association study of grain mold resistance in sorghum association panel as affected by Alternaria alone and a three-fungus mixture (2020),10.1007/s10658-020-02036-3,https://link.springer.com/article/10.1007/s10658-020-02036-3,https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-026-05222-9/MediaObjects/122_2026_5222_MOESM1_ESM.xlsx,122_2026_5222_MOESM1_ESM.xlsx,2026-07-14,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s10658-020-02036-3,Source permission required for accession-level sharing,Grain mold inoculation,377 original lines; 306 accessions in public 2026 phenotype sheet,Accession-level original-study means publicly recovered via later supplement,Distinct measurements,Descriptive results,Quantitative disease-response evidence
prom_sap_head_smut_p5_p6_2021,Response of Sorghum Accessions against Newly Documented Pathotypes 5 and 6 of Head Smut Pathogen Sporisorium reilianum,Response of Sorghum Accessions against Newly Documented Pathotypes 5 and 6 of Head Smut Pathogen Sporisorium reilianum (2021),10.4236/ajps.2021.123028,https://www.scirp.org/journal/paperinformation?paperid=108141,https://www.scirp.org/pdf/ajps_2021033014214825.pdf,ajps_2021033014214825.pdf,2026-07-14,Creative Commons Attribution 4.0,https://www.scirp.org/journal/paperinformation?paperid=108141,Derived results may be shared under the stated terms,Head smut P5; Head smut P6,"29 SAP accessions in 2017 plus 38 in 2018; 67 unique, with recurring checks",Accession-level values public in main Tables 2-3,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_sap_seed_fungal_community_2020,"Sorghum Seed Fungal Community and Their Association with Grain Mold Severity, Seed Weight, and Germination Rate","Sorghum Seed Fungal Community and Their Association with Grain Mold Severity, Seed Weight, and Germination Rate (2020)",10.32861/jac.71.14.19,https://doi.org/10.32861/jac.71.14.19,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.32861/jac.71.14.19,Source permission required for accession-level sharing,Grain mold seed mycoflora,Sorghum Association Panel lines,The reviewed materials provide summarized fungal-community and grain-mold results,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_sap_texas_anthracnose_2019,GWAS analysis of sorghum association panel lines identifies SNPs associated with disease response to Texas isolates of Colletotrichum sublineola,GWAS analysis of sorghum association panel lines identifies SNPs associated with disease response to Texas isolates of Colletotrichum sublineola (2019),10.1007/s00122-019-03285-5,https://link.springer.com/article/10.1007/s00122-019-03285-5,https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-019-03285-5/MediaObjects/122_2019_3285_MOESM1_ESM.xlsx,122_2019_3285_MOESM1_ESM.xlsx,2026-07-14,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s00122-019-03285-5,Source permission required for accession-level sharing,Anthracnose,376 source observations representing 349 unique PI labels; some PI values are duplicated,Public workbook available,Distinct measurements,Descriptive results,Quantitative disease-response evidence
prom_sc112_inheritance_mapping_2014,Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14,Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14 (2014),10.1007/s11032-014-0151-y,https://doi.org/10.1007/s11032-014-0151-y,,article and supplementary files,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/s11032-014-0151-y,Source permission required for accession-level sharing,Anthracnose,SC112-14 mapping population,Family- or line-level disease values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_sc112_prior_phenotype_merge_2020,SC112 study Supplementary Table S5 combined prior anthracnose phenotypes,SC112 study Supplementary Table S5 combined prior anthracnose phenotypes (2020),10.25387/g3.11794347,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,https://ndownloader.figshare.com/files/21524745,Table S5.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,Derived results may be shared under the stated terms,Anthracnose,574 merged accessions,Public derivative table available,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
prom_sc112_ril_anthracnose_2020,Genomic Dissection of Anthracnose Resistance Response in Sorghum Differential Line SC112-14,Genomic Dissection of Anthracnose Resistance Response in Sorghum Differential Line SC112-14 (2020),10.1534/g3.120.401121; 10.25387/g3.11794347,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,https://ndownloader.figshare.com/files/21524739,Table S3_R1.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://gsajournals.figshare.com/articles/journal_contribution/Supplemental_Material_for_Ahn_et_al_2020/11794347,Derived results may be shared under the stated terms,Anthracnose,114 unique RIL labels in Table S3; 31 RILs in main Table 5 pathotype subset,Public line-by-location table available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_seed_mycoflora_pr_2006,"Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination","Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination (2006)",10.3923/ppj.2006.106.112,https://doi.org/10.3923/ppj.2006.106.112,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2006.106.112,Source permission required for accession-level sharing,Grain mold seed mycoflora,Sorghum germplasm,"Accession-level mycoflora, kernel-weight, and germination values described in the article were reviewed qualitatively",Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_seed_quality_ml_2025,Seed quality drives grain yield in Ethiopian and Senegalese sorghum: Insights from machine learning,Seed quality drives grain yield in Ethiopian and Senegalese sorghum: Insights from machine learning (2025),10.1371/journal.pone.0329366,https://doi.org/10.1371/journal.pone.0329366,,article and supplementary files,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1371/journal.pone.0329366,Source permission required for accession-level sharing,Grain mold seed quality,Ethiopian and Senegalese source panels,Machine-learning reanalysis of previously reported disease phenotypes,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_senegal_8leaf_anthracnose_2021,Genome-wide association analysis for response of Senegalese sorghum accessions to Texas isolates of anthracnose,Genome-wide association analysis for response of Senegalese sorghum accessions to Texas isolates of anthracnose (2021),10.1002/tpg2.20097,https://acsess.onlinelibrary.wiley.com/doi/10.1002/tpg2.20097,https://acsess.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Ftpg2.20097&file=tpg220097-sup-0001.xlsx,tpg220097-sup-0001.xlsx,,Reuse terms were not stated in the materials reviewed,https://acsess.onlinelibrary.wiley.com/doi/10.1002/tpg2.20097,Source permission required for accession-level sharing,Anthracnose,163 reported accessions including checks,The publisher reports an accession-level supplement; the 14 July 2026 request returned an access error,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
